date,large_250_,medium_sized_50_to_249_,micro_0_to_9_,small_10_to_49_
2011,7.14,6.51,-0.49,-2.7
2012,-6.67,3.89,0.58,2.41
2013,14.29,1.07,0.75,1.99
2014,-12.5,1.06,1.31,2.75
2015,-14.29,1.57,5.37,3.97
2016,33.33,0.52,2.07,0.33
2017,0.0,1.54,1.5,-1.65
2018,-6.25,1.52,0.73,1.6
2019,20.0,0.0,0.7,1.32
2020,0.0,-1.99,0.3,-0.73
2021,16.67,-1.52,-0.63,-1.97
2022,4.76,-2.06,0.83,1.17
