geography_code,all_other_qualifications,level_2,level_3,number_of_pupils_completing_16_18_study,pct_level2,pct_level3,pct_all_other_qualifications,pct_education,pct_employment,pct_apprenticeship
E06000014,625.0,691.0,2762.0,4078.0,16.9,67.7,15.3,56.0,33.7,10.2
E10000023,340.0,423.0,3333.0,4096.0,10.3,81.4,8.3,64.3,27.2,8.5
