date,geography_name,geography_code,school_type_group,Institution,characteristic_type,Characteristic,Students at end of 16-18 study,Number of level 3 students,Number of A level students,Number of academic students,Number of applied general students,Number of tech level students,APS per A level entry,Average A level result,APS per academic entry,Average academic result,APS per applied general entry,Average applied general result,APS per tech level entry,Average tech level result,% achieving ≥ 2 substantial level 3 results,% achieving ≥ 2 A levels,% achieving ≥ 2 academic results,Number of students entered for ≥ 1 A level or applied A level,APS per 'Best 3' entries,APS per 'Best 3' entries (grade),% achieving 3 A* to A,% achieving ≥ AAB,Number of students entered for ≥ 1 A level,% achieving ≥ AAB for a minimum of 2 facilitating A levels,Number of students entered for any level 3 vocational (excluding applied generals),% level 3 vocational students (excluding applied generals) who entered tech levels,Number of students entered for any level 3 vocational (excluding tech levels),% level 3 vocational students (excluding tech levels) who entered applied general,Number of students with level 2 as highest entry,% level 2 students entered for technical certificate,Number of technical certificate students,APS per entry technical certificate students,Average technical certificate result
2017/18,Bradford,E08000032,State-funded institutions,All state-funded schools,Gender,Female,1614,1313,1095,1100,492,44,31.0058,C,31.103,C,30.3241,Dist-,33.9496,Dist,83.625,70.959,70.909,704,31.4678,C,8.665,15.909,704,11.932,202,21.782,599,82.304,66,1.515,5,5.7895,L2Merit-
2017/18,Calderdale,E08000033,State-funded institutions,All state-funded schools,Gender,Female,700,593,553,556,138,7,31.0162,C,31.1133,C,30.4977,Dist-,20,Merit-,80.101,71.971,71.763,404,29.4224,C,6.931,12.376,396,9.848,105,6.667,220,62.727,22,72.727,16,6,L2Merit
2017/18,Kirklees,E08000034,State-funded institutions,All state-funded schools,Gender,Female,570,504,468,470,137,14,30.0797,C,30.1521,C,28.1117,Merit+,37.3214,Dist+,83.73,73.504,73.191,299,32.6198,C+,5.017,12.04,299,8.696,30,46.667,139,98.561,17,0,0,NA,NA
2017/18,Leeds,E08000035,State-funded institutions,All state-funded schools,Gender,Female,1814,1536,1435,1451,282,27,31.7728,C+,31.8056,C+,28.1813,Merit+,34.2953,Dist,78.841,74.077,73.329,1063,31.1916,C,7.714,14.487,1057,10.501,196,13.776,442,63.801,24,41.667,11,6,L2Merit
2017/18,Wakefield,E08000036,State-funded institutions,All state-funded schools,Gender,Female,1185,876,827,827,103,19,31.5034,C,31.5425,C,33.2482,Dist-,35.6098,Dist,81.05,78.476,78.476,631,30.5335,C,5.864,11.41,626,6.55,401,4.738,483,21.325,39,17.949,7,5.4545,L2Pass+
2018/19,Bradford,E08000032,State-funded institutions,All state-funded schools,Gender,Female,1644,1320,1072,1079,533,67,29.9884,C,30.0234,C,30.3083,Dist-,34.0605,Dist,86.288,73.787,73.494,694,30.4179,C,4.899,9.654,694,7.637,127,52.756,565,94.69,52,0,0,NA,NA
2018/19,Calderdale,E08000033,State-funded institutions,All state-funded schools,Gender,Female,636,521,458,459,149,22,33.0397,C+,33.1073,C+,28.8506,Merit+,31.8539,Dist-,86.564,78.821,78.649,339,31.1111,C,8.555,15.339,339,11.209,37,59.459,156,95.513,20,0,0,NA,NA
2018/19,Kirklees,E08000034,State-funded institutions,All state-funded schools,Gender,Female,533,461,383,383,165,8,32.5941,C+,32.6582,C+,31.4788,Dist-,34.2857,Dist,89.154,80.157,80.157,278,32.9017,C+,11.511,17.626,278,13.309,24,33.333,167,98.802,11,0,0,NA,NA
2018/19,Leeds,E08000035,State-funded institutions,All state-funded schools,Gender,Female,1791,1479,1381,1390,423,36,31.9843,C+,32.1408,C+,28.1834,Merit+,34.1837,Dist,86.342,77.408,76.906,975,31.5658,C,6.462,13.026,975,8.615,118,30.508,488,86.885,34,0,0,NA,NA
2018/19,Wakefield,E08000036,State-funded institutions,All state-funded schools,Gender,Female,1102,727,685,692,36,22,34.7421,C+,34.7863,C+,29.6759,Merit+,40.878,Dist+,79.78,79.562,78.757,607,30.2636,C,6.096,12.356,607,6.755,417,5.276,430,8.372,71,0,0,NA,NA
2019/20,Calderdale,E08000033,State-funded institutions,All state-funded schools,Gender,Female,643,481,418,427,217,0,38.9697,B,38.8876,B,35.7955,Dist,NA,NA,95.634,78.708,77.049,254,38.937,B,20.079,33.071,254,23.622,21,0,230,94.348,12,0,0,NA,NA
2019/20,Kirklees,E08000034,State-funded institutions,All state-funded schools,Gender,Female,483,415,368,368,160,7,35.6161,B-,35.6881,B-,32.9815,Dist-,45,Dist*-,95.904,83.967,83.967,251,35.073,B-,11.952,19.522,251,14.741,21,33.333,173,92.486,7,0,0,NA,NA
2019/20,Leeds,E08000035,State-funded institutions,All state-funded schools,Gender,Female,1796,1519,1401,1416,449,32,38.4941,B,38.5062,B,31.9757,Dist-,42.7528,Dist*-,93.285,85.939,85.169,1041,37.9923,B-,18.156,29.203,1041,18.732,125,25.6,530,84.906,31,32.258,10,5,L2Pass
2019/20,Wakefield,E08000036,State-funded institutions,All state-funded schools,Gender,Female,1097,734,669,673,99,14,39.5826,B,39.6064,B,33.1927,Dist-,46.2963,Dist*-,83.651,84.155,83.655,616,33.1169,C+,9.578,19.968,616,10.065,447,3.132,503,19.682,56,5.357,3,7.5,L2Dist*-
2019/20,Bradford,E08000032,State-funded institutions,All state-funded schools,Gender,Female,1552,1257,990,1001,565,59,37.2539,B-,37.0756,B-,35.236,Dist,38.2051,Dist+,93.158,79.495,78.721,647,38.2432,B-,16.847,27.821,647,20.711,129,45.736,594,95.623,46,0,0,NA,NA
2020/21,Calderdale,E08000033,State-funded institutions,All state-funded schools,Gender,Female,499,452,392,401,225,6,42.351,B+,42.2661,B+,39.1471,Dist+,34.6875,Dist,98.23,81.122,79.302,225,43.6593,B+,34.222,50.667,225,33.778,13,46.154,231,97.403,0,NA,0,NA,NA
2020/21,Kirklees,E08000034,State-funded institutions,All state-funded schools,Gender,Female,474,421,371,374,177,12,39.2924,B,39.3582,B,35.0997,Dist,39.5455,Dist+,99.05,78.976,78.342,237,39.9297,B,25.316,37.553,237,27.848,27,44.444,188,94.149,7,0,0,NA,NA
2020/21,Bradford,E08000032,State-funded institutions,All state-funded schools,Gender,Female,1416,1173,954,964,563,40,40.4258,B,40.4546,B,37.3465,Dist+,33.1405,Dist-,93.691,80.398,79.564,591,40.4681,B,25.719,37.902,591,27.073,229,17.467,707,79.915,33,0,0,NA,NA
2020/21,Leeds,E08000035,State-funded institutions,All state-funded schools,Gender,Female,1574,1392,1304,1316,466,42,41.296,B,41.2274,B,35.8901,Dist,38.6992,Dist+,97.629,89.417,88.602,902,42.6053,B+,28.936,44.235,902,28.271,78,53.846,490,95.102,7,0,0,NA,NA
2020/21,Wakefield,E08000036,State-funded institutions,All state-funded schools,Gender,Female,1091,812,739,747,143,23,41.4273,B,41.4033,B,34.0167,Dist,37.3545,Dist+,82.759,79.432,78.581,642,34.3302,C+,16.044,26.324,642,11.994,455,5.055,541,26.617,20,0,0,NA,NA
2021/22,Bradford,E08000032,State-funded institutions,All state-funded schools,Gender,Female,1710,1510,1117,1130,878,60,37.678,B-,37.6568,B-,35.3606,Dist,33.0899,Dist-,98.675,77.977,77.08,609,39.1571,B,18.391,30.87,609,19.54,89,67.416,889,98.875,4,0,0,NA,NA
2021/22,Calderdale,E08000033,State-funded institutions,All state-funded schools,Gender,Female,561,506,427,433,258,6,37.3062,B-,37.1712,B-,34.9538,Dist,40.8333,Dist+,99.407,77.518,76.443,249,38.8086,B,16.867,32.129,249,19.679,7,85.714,258,100,0,NA,0,NA,NA
2021/22,Kirklees,E08000034,State-funded institutions,All state-funded schools,Gender,Female,506,441,407,407,166,9,36.0732,B-,36.1198,B-,34.4368,Dist,42.3529,Dist*-,97.506,81.327,81.327,269,36.2949,B-,14.126,26.394,269,17.1,26,34.615,182,91.209,0,NA,0,NA,NA
2021/22,Leeds,E08000035,State-funded institutions,All state-funded schools,Gender,Female,1624,1411,1307,1313,506,45,37.1228,B-,37.1535,B-,33.084,Dist-,37.911,Dist+,98.866,85.31,84.92,892,38.2063,B-,17.489,27.242,892,16.256,72,62.5,528,95.833,1,0,0,NA,NA
2021/22,Wakefield,E08000036,State-funded institutions,All state-funded schools,Gender,Female,1179,982,793,793,435,26,41.2827,B,41.2918,B,36.7063,Dist+,35.0575,Dist,93.788,79.067,79.067,537,38.3923,B,17.691,31.099,537,13.966,135,19.259,531,81.921,5,0,0,NA,NA
2017/18,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,Gender,Female,2702,1426,1144,1154,525,77,30.4379,C,30.5334,C,30.3669,Dist-,32.2088,Dist-,81.627,71.678,71.317,753,30.7039,C,8.101,14.874,752,11.17,486,15.844,883,59.57,420,15.476,71,5.7769,L2Merit-
2017/18,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,Gender,Female,1063,630,553,556,138,45,31,C,31.0972,C,30.4977,Dist-,28.5942,Merit+,76.032,71.971,71.763,407,29.2301,C,6.88,12.285,399,9.774,252,17.857,330,41.818,169,42.604,75,5.9765,L2Merit
2017/18,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,Gender,Female,2733,1585,1513,1522,206,14,35.2074,B-,35.2184,B-,27.5322,Merit+,37.3214,Dist+,84.227,82.287,81.8,1251,34.4844,C+,12.55,20.703,1250,14.08,741,1.889,881,23.383,535,30.467,208,6.2699,L2Merit+
2017/18,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Gender,Female,3875,2226,2028,2043,408,78,31.6833,C+,31.7545,C+,29.1069,Merit+,30.2551,Dist-,77.942,74.655,74.156,1532,30.9726,C,8.029,14.36,1508,9.814,646,12.074,960,42.708,511,29.941,163,5.8702,L2Merit
2017/18,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Gender,Female,2084,1105,941,942,116,143,30.4733,C,30.5271,C,32.25,Dist-,34.8471,Dist,79.095,76.089,76.008,700,30.0952,C,5.429,10.429,695,5.899,723,19.779,693,16.739,289,20.761,62,5.906,L2Merit
2018/19,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,Gender,Female,2473,1482,1117,1126,603,121,29.3936,C,29.4225,C,30.27,Dist-,31.2796,Dist-,82.726,74.396,73.979,746,29.5532,C,4.558,8.981,746,7.105,302,40.066,754,80.239,275,3.636,18,5.8732,L2Merit
2018/19,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,Gender,Female,966,577,458,459,150,78,33.0187,C+,33.0869,C+,29.0095,Merit+,34.2248,Dist,83.882,78.821,78.649,340,31.0294,C,8.529,15.294,340,11.176,178,43.82,243,61.728,147,0.68,1,NA,NA
2018/19,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,Gender,Female,2676,1506,1362,1364,283,32,36.2386,B-,36.3258,B-,30.3108,Dist-,41.9595,Dist*-,88.712,85.683,85.557,1170,34.0199,C+,12.051,22.308,1170,15.726,792,4.04,984,28.76,493,0.811,4,6.75,L2Dist-
2018/19,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Gender,Female,4085,2309,1899,1910,647,181,31.9905,C+,32.1478,C+,27.6776,Merit+,30.2042,Dist-,79.039,75.197,74.764,1410,30.5816,C,7.305,14.255,1410,8.794,745,24.295,1156,56.055,679,2.504,25,5.6202,L2Merit-
2018/19,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Gender,Female,1995,981,771,779,68,171,33.4717,C+,33.5253,C+,27.0976,Merit+,35.9643,Dist,74.924,80.934,80.103,693,29.6104,C,5.628,11.255,693,6.205,754,22.679,652,10.429,328,5.793,20,5.35,L2Pass+
2019/20,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,Gender,Female,928,533,417,423,217,56,38.9697,B,38.8876,B,35.7812,Dist,39.4728,Dist+,92.871,78.897,77.778,259,38.8288,B,19.691,32.432,259,23.166,152,36.842,304,71.382,139,0.719,1,NA,NA
2019/20,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,Gender,Female,2810,1555,1407,1407,343,44,40.3265,B,40.3969,B,32.9758,Dist-,39.0594,Dist+,90.997,87.633,87.633,1176,37.8175,B-,19.048,31.122,1176,21.854,780,5.641,1017,33.727,563,0.178,1,NA,NA
2019/20,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Gender,Female,4207,2434,1959,1989,752,185,37.6102,B-,37.6474,B-,30.5327,Dist-,29.2439,Merit+,82.498,80.807,79.688,1447,36.5054,B-,17.001,27.505,1447,17.001,798,23.183,1232,61.12,540,6.481,35,5.518,L2Merit-
2019/20,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Gender,Female,1837,919,713,717,109,147,39.0392,B,39.0631,B,31.5819,Dist-,34.5363,Dist,81.066,85.273,84.798,662,32.9758,C+,9.517,19.486,662,9.517,745,19.732,680,16.029,279,13.62,44,5.9167,L2Merit
2019/20,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,Gender,Female,2492,1469,1034,1056,634,157,36.5386,B-,36.3847,B-,35.0483,Dist,34.3508,Dist,87.27,79.981,78.409,691,37.2648,B-,15.774,26.194,691,19.537,325,48.308,764,83.377,317,5.994,20,5.725,L2Merit-
2020/21,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,Gender,Female,722,513,393,402,225,66,42.3378,B+,42.2533,B+,39.1471,Dist+,36.7941,Dist+,95.517,80.916,79.104,226,43.5103,B+,34.071,50.442,226,33.628,119,55.462,276,81.522,58,0,0,NA,NA
2020/21,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,Gender,Female,2235,1563,1413,1416,386,47,41.2941,B,41.3898,B,34.3664,Dist,42.1698,Dist*-,92.067,86.412,86.229,1142,39.4717,B,24.256,36.865,1142,23.468,615,7.642,868,44.47,124,4.032,6,7,L2Dist
2020/21,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,Gender,Female,1996,1339,985,1005,636,103,39.9958,B,40.0154,B,37.292,Dist+,28.6445,Merit+,91.187,81.015,79.403,624,39.8077,B,24.359,35.897,624,25.641,391,26.343,878,72.665,134,8.209,12,5.1429,L2Pass
2020/21,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Gender,Female,3310,2196,1847,1862,729,194,40.5946,B,40.5914,B,34.9325,Dist,30.4324,Dist-,94.353,87.223,86.52,1274,41.7687,B+,27.394,41.758,1274,25.353,542,35.793,1049,69.495,236,4.661,11,5.8256,L2Merit-
2020/21,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Gender,Female,1564,984,813,819,193,102,40.3121,B,40.3008,B,32.9766,Dist-,34.556,Dist,84.553,81.058,80.464,690,34,C+,15.507,25.072,690,11.304,654,15.749,708,27.401,83,19.277,16,5.7538,L2Merit-
2021/22,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,Gender,Female,2530,1705,1131,1144,975,145,37.3527,B-,37.3363,B-,34.0927,Dist,27.265,Merit+,96.129,77.984,77.098,622,38.6763,B,18.006,30.225,622,19.132,268,54.104,1080,90.37,51,11.765,6,6.0385,L2Merit
2021/22,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,Gender,Female,858,563,427,433,262,59,37.3062,B-,37.1712,B-,35.0806,Dist,35.296,Dist,99.29,77.518,76.443,249,38.8086,B,16.867,32.129,249,19.679,112,52.679,314,83.439,14,0,0,NA,NA
2021/22,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,Gender,Female,2658,1981,1533,1535,815,74,39.399,B,39.4721,B,34.9288,Dist,33.331,Dist-,96.517,85.192,85.081,1100,40.1788,B,21.727,35.909,1100,23.545,195,37.949,921,88.491,81,6.173,5,7.1,L2Dist
2021/22,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Gender,Female,4264,2483,1936,1945,911,296,36.6853,B-,36.7179,B-,33.6464,Dist,27.1587,Merit+,95.892,84.091,83.702,1314,37.7118,B-,17.047,27.169,1314,15.601,700,42.286,1305,69.962,117,6.838,8,5.6667,L2Merit-
2021/22,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Gender,Female,1869,1188,862,862,507,116,40.1501,B,40.1711,B,35.2,Dist,34.2551,Dist,93.687,80.394,80.394,584,37.4772,B-,16.438,29.11,584,13.185,334,34.731,711,71.308,38,10.526,4,6,L2Merit
2017/18,Bradford,E08000032,State-funded institutions,All state-funded schools,Gender,Male,1404,987,783,791,403,63,28.0492,C-,28.1199,C-,27.9971,Merit+,28.75,Merit+,75.583,63.729,63.338,430,30.6899,C,8.372,14.884,430,13.256,273,23.077,551,73.503,39,5.128,4,5.6923,L2Merit-
2017/18,Calderdale,E08000033,State-funded institutions,All state-funded schools,Gender,Male,686,564,522,525,124,21,27.9385,C-,28.0642,C-,26.8544,Merit+,25.9524,Merit,74.645,64.559,64.381,355,27.3521,C-,5.634,9.577,353,7.932,143,14.685,222,55.856,17,5.882,1,NA,NA
2017/18,Kirklees,E08000034,State-funded institutions,All state-funded schools,Gender,Male,400,365,343,343,80,30,29.6497,C,29.567,C,25.0404,Merit,32.6364,Dist-,86.575,77.259,77.259,238,32.7451,C+,10.924,18.908,237,16.878,34,88.235,80,100,0,NA,0,NA,NA
2017/18,Leeds,E08000035,State-funded institutions,All state-funded schools,Gender,Male,1707,1383,1281,1295,255,106,29.9313,C,29.9063,C,24.0105,Merit,30.0636,Dist-,74.114,67.291,66.95,870,30.1762,C,10.115,17.241,870,14.828,280,37.857,393,65.649,29,55.172,22,6.1944,L2Merit+
2017/18,Wakefield,E08000036,State-funded institutions,All state-funded schools,Gender,Male,918,572,551,551,53,16,31.4354,C,31.4663,C,31.256,Dist-,29.2308,Merit+,74.476,72.414,72.414,417,30.7514,C,11.271,17.506,417,13.429,378,4.233,418,12.679,54,40.741,22,4.4,L1Dist+
2018/19,Bradford,E08000032,State-funded institutions,All state-funded schools,Gender,Male,1461,1108,852,862,482,132,28.2813,C-,28.3619,C,28.2445,Merit+,29.9701,Merit+,79.513,70.188,69.49,499,30.1536,C,7.415,13.828,499,11.423,216,61.111,536,91.045,48,0,0,NA,NA
2018/19,Calderdale,E08000033,State-funded institutions,All state-funded schools,Gender,Male,599,484,412,414,150,23,30.6564,C,30.6676,C,26.9242,Merit+,31.5217,Dist-,81.818,72.573,72.464,280,30.0714,C,10,14.286,280,11.429,55,41.818,174,86.207,14,0,0,NA,NA
2018/19,Kirklees,E08000034,State-funded institutions,All state-funded schools,Gender,Male,350,289,248,251,79,14,26.8528,C-,26.9029,C-,25.678,Merit,27.7273,Merit+,75.433,68.145,67.331,173,28.6513,C,4.624,9.249,173,7.514,24,58.333,83,95.181,0,NA,0,NA,NA
2018/19,Leeds,E08000035,State-funded institutions,All state-funded schools,Gender,Male,1796,1397,1256,1279,316,159,30.3239,C,30.4241,C,24.7606,Merit,32.226,Dist-,82.606,73.646,72.4,859,30.4734,C,10.477,16.647,859,13.737,262,60.687,417,80.576,35,34.286,12,6.0547,L2Merit
2018/19,Wakefield,E08000036,State-funded institutions,All state-funded schools,Gender,Male,915,549,514,519,44,24,34.322,C+,34.3375,C+,24.527,Merit,31.9512,Dist-,81.056,78.21,77.457,432,31.7361,C+,8.796,16.667,432,12.037,322,7.453,341,12.903,63,0,0,NA,NA
2019/20,Calderdale,E08000033,State-funded institutions,All state-funded schools,Gender,Male,533,384,320,320,181,5,37.8123,B-,37.6894,B-,32.6381,Dist-,41,Dist+,97.917,80.625,80.938,198,38.4175,B,21.717,28.788,198,23.232,11,45.455,184,98.37,1,0,0,NA,NA
2019/20,Kirklees,E08000034,State-funded institutions,All state-funded schools,Gender,Male,370,308,268,270,98,27,31.618,C,31.7295,C+,32.1767,Dist-,31.7442,Dist-,95.13,86.567,85.926,197,32.2673,C+,13.198,20.812,197,18.782,38,71.053,103,95.146,0,NA,0,NA,NA
2019/20,Leeds,E08000035,State-funded institutions,All state-funded schools,Gender,Male,1713,1329,1207,1233,300,144,35.5921,B-,35.5712,B-,27.9764,Merit+,34.9114,Dist,92.852,87.324,85.483,906,35.4047,B-,18.212,26.49,906,21.854,233,61.803,391,80.563,34,26.471,9,6.3415,L2Merit+
2019/20,Wakefield,E08000036,State-funded institutions,All state-funded schools,Gender,Male,873,519,476,484,72,14,38.8245,B,38.8492,B,27.5081,Merit+,30.8824,Dist-,84.971,82.143,80.785,433,33.3025,C+,14.55,21.709,433,14.781,343,4.082,388,18.557,57,0,0,NA,NA
2019/20,Bradford,E08000032,State-funded institutions,All state-funded schools,Gender,Male,1259,951,680,689,469,142,35.2994,B-,35.0577,B-,31.866,Dist-,34.3158,Dist,90.116,73.676,72.714,404,37.4752,B-,18.564,27.97,404,23.267,198,71.717,517,92.07,32,0,0,NA,NA
2020/21,Calderdale,E08000033,State-funded institutions,All state-funded schools,Gender,Male,491,439,369,372,198,2,37.5384,B-,37.6017,B-,34.4093,Dist,50,Dist*,97.267,82.385,81.72,236,38.3475,B,19.915,32.627,236,27.119,5,40,201,98.507,0,NA,0,NA,NA
2020/21,Kirklees,E08000034,State-funded institutions,All state-funded schools,Gender,Male,325,283,248,248,107,18,34.5074,C+,34.6258,C+,33.2375,Dist-,30,Dist-,97.88,85.887,85.887,168,35.377,B-,16.667,24.405,168,19.643,22,81.818,109,98.165,0,NA,0,NA,NA
2020/21,Bradford,E08000032,State-funded institutions,All state-funded schools,Gender,Male,1162,966,759,766,425,82,38.2707,B-,38.2077,B-,31.9862,Dist-,33.6404,Dist,91.718,82.213,81.462,512,38.4505,B,21.68,32.227,512,25.586,210,39.048,537,80.074,27,14.815,4,6.125,L2Merit
2020/21,Leeds,E08000035,State-funded institutions,All state-funded schools,Gender,Male,1521,1276,1155,1177,340,166,38.4673,B,38.3734,B,31.146,Dist-,36.2186,Dist,96.63,87.1,85.472,827,39.6574,B,25.151,36.88,827,27.207,203,81.773,372,93.011,25,52,13,6.7308,L2Dist-
2020/21,Wakefield,E08000036,State-funded institutions,All state-funded schools,Gender,Male,770,489,450,453,67,24,38.0999,B-,38.1502,B-,31.8191,Dist-,33.5135,Dist,86.503,84,83.444,413,32.8168,C+,11.864,19.855,413,13.317,329,7.295,365,19.452,24,0,0,NA,NA
2021/22,Bradford,E08000032,State-funded institutions,All state-funded schools,Gender,Male,1397,1150,792,803,659,177,35.0766,B-,34.9922,C+,31.4955,Dist-,32.8183,Dist-,96.87,78.662,77.584,454,37.1366,B-,18.722,28.414,454,23.128,217,81.567,684,96.491,6,16.667,1,NA,NA
2021/22,Calderdale,E08000033,State-funded institutions,All state-funded schools,Gender,Male,509,440,387,391,198,1,35.6529,B-,35.5596,B-,32.1149,Dist-,NA,NA,99.091,83.204,82.353,241,36.2102,B-,18.672,27.386,241,20.332,1,100,198,100,0,NA,0,NA,NA
2021/22,Kirklees,E08000034,State-funded institutions,All state-funded schools,Gender,Male,346,280,251,251,78,20,32.5445,C+,32.6182,C+,28.1179,Merit+,29.0278,Merit+,97.5,86.454,86.454,192,33.7326,C+,13.542,21.354,192,18.75,22,90.909,79,98.734,0,NA,0,NA,NA
2021/22,Leeds,E08000035,State-funded institutions,All state-funded schools,Gender,Male,1591,1316,1213,1218,400,157,34.831,C+,34.8695,C+,31.5877,Dist-,36.8182,Dist+,98.556,85.903,85.632,826,35.5488,B-,15.496,24.697,826,18.281,171,91.813,413,96.852,0,NA,0,NA,NA
2021/22,Wakefield,E08000036,State-funded institutions,All state-funded schools,Gender,Male,865,677,537,538,275,141,37.864,B-,37.8737,B-,36.2589,Dist,34.2933,Dist,97.784,82.682,82.528,352,37.3295,B-,16.193,26.136,352,19.034,202,69.802,335,82.09,2,0,0,NA,NA
2017/18,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,Gender,Male,2811,1044,824,841,413,65,27.5115,C-,27.5479,C-,27.9287,Merit+,28.6286,Merit+,74.904,64.563,63.496,470,29.773,C,7.66,13.83,470,12.128,714,9.104,997,41.625,512,51.953,259,5.0792,L2Pass
2017/18,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,Gender,Male,1228,599,523,526,142,46,27.9039,C-,28.0301,C-,26.5981,Merit,29.614,Merit+,73.623,64.436,64.259,360,27.0463,C-,5.556,9.444,358,7.821,303,15.182,380,38.684,231,42.857,101,5.8521,L2Merit
2017/18,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,Gender,Male,2575,1041,1005,1013,103,30,32.6019,C+,32.5701,C+,24.8452,Merit,32.6364,Dist-,79.827,77.313,76.703,808,32.4711,C+,12.376,21.535,807,16.853,684,4.386,745,13.826,647,44.977,291,5.4579,L2Pass+
2017/18,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Gender,Male,4275,1857,1640,1654,431,116,29.9162,C,29.9238,C,26.1802,Merit,30.4623,Dist-,72.429,67.561,67.291,1132,29.9529,C,10.512,16.873,1130,14.071,887,13.078,1155,38.095,735,41.497,317,5.7741,L2Merit-
2017/18,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Gender,Male,2124,659,624,625,64,24,30.0424,C,30.0753,C,29.0685,Merit+,28.3242,Merit+,73.445,71.314,71.2,467,29.6217,C,10.064,15.632,467,11.991,690,3.478,733,8.731,464,50.647,227,5.4779,L2Pass+
2018/19,Bradford,E08000032,State-funded institutions,All state-funded schools and colleges,Gender,Male,2618,1214,903,920,500,180,27.2969,C-,27.3771,C-,28.4538,Merit+,27.4807,Merit+,80.066,71.096,69.891,556,28.6871,C,6.835,12.59,556,10.432,530,33.962,809,62.546,401,3.741,16,6.1579,L2Merit
2018/19,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,Gender,Male,1086,505,410,412,169,31,30.6455,C,30.6569,C,26.7604,Merit+,33.2927,Dist-,81.584,72.927,72.816,281,30.0474,C,9.964,14.235,281,11.388,191,16.23,321,52.648,204,0,0,NA,NA
2018/19,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,Gender,Male,2652,1070,999,1007,124,16,34.3402,C+,34.3537,C+,25.547,Merit,31.8519,Dist-,80.935,79.98,79.345,862,32.3859,C+,11.717,19.722,862,15.429,757,2.114,837,14.815,516,0.969,6,6.1667,L2Merit
2018/19,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Gender,Male,4544,1985,1570,1598,606,204,30.3805,C,30.4716,C,24.4654,Merit,32.5333,Dist-,78.489,73.885,72.653,1116,29.8984,C,9.409,14.785,1116,12.366,873,23.368,1226,51.06,854,12.881,111,5.4009,L2Pass+
2018/19,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Gender,Male,2035,649,576,582,71,41,32.7342,C+,32.7638,C+,25.1852,Merit,26.7782,Merit+,79.045,78.125,77.32,483,30.7384,C,7.867,15.321,483,10.973,679,6.038,702,10.114,415,1.687,8,5.7581,L2Merit-
2019/20,Calderdale,E08000033,State-funded institutions,All state-funded schools and colleges,Gender,Male,986,404,320,320,199,7,37.8123,B-,37.6894,B-,33.3402,Dist,40.5,Dist+,97.525,80.625,80.938,200,38.25,B-,21.5,28.5,200,23,121,5.785,310,64.194,126,11.905,15,5,L2Pass
2019/20,Kirklees,E08000034,State-funded institutions,All state-funded schools and colleges,Gender,Male,2598,1056,991,993,158,27,37.1599,B-,37.1888,B-,31.3981,Dist-,31.7442,Dist-,90.72,89.405,89.225,883,35.0434,B-,18.347,25.821,883,19.026,679,3.976,783,20.179,492,0,0,NA,NA
2019/20,Leeds,E08000035,State-funded institutions,All state-funded schools and colleges,Gender,Male,4518,2054,1545,1599,689,199,34.9314,C+,34.8817,C+,26.54,Merit,34.052,Dist,82.717,83.301,80.55,1146,34.6422,C+,16.405,24.782,1146,19.459,870,22.874,1269,55.477,560,13.214,74,5.4884,L2Pass+
2019/20,Wakefield,E08000036,State-funded institutions,All state-funded schools and colleges,Gender,Male,1885,574,493,501,87,40,38.591,B,38.6163,B,26.777,Merit+,21.9828,Merit-,83.101,82.759,81.437,450,33.2593,C+,14.222,21.778,450,14.667,608,6.579,638,13.636,377,1.592,6,6,L2Merit
