unit_title,Craven,Hambleton,Harrogate,Richmondshire,Ryedale,Scarborough,Selby,York,Total
Teaching and other educational professionals n.e.c.,0.0,5.0,0.0,2.0,5.0,0.0,35.0,424.0,471.0
Solicitors,28.0,0.0,0.0,4.0,0.0,3.0,0.0,436.0,471.0
"Planning, process and production technicians",19.0,0.0,42.0,0.0,33.0,0.0,0.0,362.0,456.0
Customer service managers and supervisors,0.0,0.0,59.0,0.0,0.0,0.0,17.0,372.0,448.0
Health and safety officers,16.0,28.0,45.0,0.0,48.0,0.0,8.0,300.0,445.0
Purchasing managers and directors,75.0,0.0,53.0,0.0,5.0,0.0,9.0,290.0,432.0
Electrical and electronic trades n.e.c.,99.0,10.0,68.0,0.0,0.0,14.0,58.0,172.0,421.0
Office managers,44.0,9.0,87.0,0.0,7.0,0.0,32.0,240.0,419.0
Quality assurance technicians,290.0,68.0,28.0,1.0,23.0,3.0,5.0,0.0,418.0
Sales and retail assistants,26.0,18.0,150.0,3.0,0.0,6.0,39.0,166.0,408.0
Nursing auxiliaries and assistants,30.0,0.0,37.0,1.0,6.0,16.0,0.0,318.0,408.0
Draughtspersons,34.0,4.0,0.0,1.0,4.0,0.0,0.0,358.0,401.0
Waiters and waitresses,16.0,0.0,278.0,1.0,5.0,96.0,0.0,0.0,396.0
Receptionists,44.0,13.0,90.0,1.0,4.0,17.0,0.0,226.0,395.0
Financial managers and directors,61.0,25.0,62.0,1.0,18.0,27.0,0.0,196.0,390.0
Quality control and planning engineers,159.0,6.0,0.0,0.0,0.0,6.0,5.0,206.0,382.0
Beauticians and related occupations,0.0,0.0,41.0,0.0,0.0,330.0,0.0,0.0,371.0
Gardeners and landscape gardeners,0.0,0.0,42.0,1.0,0.0,23.0,0.0,286.0,352.0
Biological scientists and biochemists,308.0,4.0,0.0,0.0,0.0,0.0,31.0,0.0,343.0
Human resource managers and directors,12.0,0.0,89.0,0.0,9.0,0.0,0.0,218.0,328.0
Financial administrative occupations n.e.c.,25.0,6.0,84.0,0.0,23.0,0.0,5.0,184.0,327.0
Business and related associate professionals n.e.c.,0.0,0.0,95.0,7.0,0.0,0.0,5.0,208.0,315.0
Metal working machine operatives,34.0,119.0,0.0,4.0,12.0,8.0,5.0,128.0,310.0
Pharmacists,0.0,7.0,0.0,0.0,0.0,0.0,0.0,298.0,305.0
"Authors, writers and translators",0.0,18.0,0.0,2.0,8.0,0.0,6.0,258.0,292.0
Bar staff,12.0,0.0,67.0,1.0,0.0,204.0,0.0,0.0,284.0
Senior professionals of educational establishments,0.0,0.0,0.0,0.0,4.0,0.0,62.0,218.0,284.0
Teaching assistants,0.0,0.0,43.0,0.0,0.0,0.0,0.0,238.0,281.0
Information technology and telecommunications directors,24.0,0.0,42.0,1.0,4.0,0.0,0.0,186.0,257.0
"Vehicle technicians, mechanics and electricians",53.0,9.0,73.0,5.0,14.0,51.0,49.0,0.0,254.0
Medical practitioners,73.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,251.0
Hotel and accommodation managers and proprietors,0.0,0.0,0.0,1.0,0.0,0.0,250.0,0.0,251.0
Natural and social science professionals n.e.c.,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.0
Construction and building trades supervisors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,238.0
Plant and machine operatives n.e.c.,15.0,9.0,29.0,0.0,5.0,3.0,42.0,134.0,237.0
Stock control clerks and assistants,0.0,32.0,36.0,0.0,13.0,4.0,0.0,140.0,225.0
Managers and directors in storage and warehousing,36.0,12.0,0.0,22.0,0.0,0.0,6.0,148.0,224.0
Other skilled trades n.e.c.,136.0,5.0,0.0,13.0,0.0,0.0,63.0,0.0,217.0
Electrical and electronics technicians,14.0,0.0,34.0,0.0,7.0,0.0,0.0,158.0,213.0
Sales administrators,16.0,0.0,32.0,5.0,0.0,0.0,0.0,158.0,211.0
Production and process engineers,84.0,4.0,123.0,0.0,0.0,0.0,0.0,0.0,211.0
Records clerks and assistants,15.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,193.0
Welding trades,0.0,128.0,34.0,1.0,9.0,17.0,0.0,0.0,189.0
Animal care services occupations n.e.c.,0.0,0.0,0.0,6.0,20.0,13.0,11.0,138.0,188.0
Van drivers,0.0,18.0,72.0,0.0,8.0,89.0,0.0,0.0,187.0
Primary and nursery education teaching professionals,0.0,0.0,0.0,0.0,0.0,2.0,27.0,156.0,185.0
