geography_code,achievements,participation,ap_ratio,eng_participation,maths_participation,esol_participation,eds_participation,eng_achievements,maths_achievements,esol_achievements,eds_achievements
E06000014,1210,3060,0.4,540,650,80,10,190,210,60,10
E07000163,440,1000,0.44,160,220,20,10,70,70,20,10
E07000164,562,1602,0.35,320,350,20,2,110,90,20,2
E07000165,822,2510,0.33,460,510,90,10,130,110,70,2
E07000166,5152,8792,0.59,2020,1740,10,2,1180,860,10,2
E07000167,292,722,0.4,130,160,10,2,50,50,10,2
E07000168,782,2452,0.32,470,550,30,2,150,120,30,2
E07000169,562,1630,0.34,290,350,40,10,80,100,30,2
