ethnicity_group,1,2,3,4+,E,Not Assigned
Asian/ Asian British,1540.0,536.0,512.0,512.0,1174.0,512.0
Black/African/Caribbean/Black British,520.0,520.0,512.0,512.0,536.0,512.0
Mixed/ Multiple Ethnic Group,530.0,528.0,512.0,512.0,544.0,512.0
Not Provided,520.0,520.0,512.0,512.0,520.0,512.0
Other Ethnic Group,640.0,562.0,512.0,512.0,698.0,512.0
White,2552.0,4428.0,1172.0,554.0,1670.0,1038.0
