ethnicity_group,1,2,3,4+,E,Not Assigned
Asian/ Asian British,1736.0,584.0,512.0,512.0,1534.0,512.0
Black/African/Caribbean/Black British,528.0,520.0,512.0,512.0,536.0,512.0
Mixed/ Multiple Ethnic Group,538.0,544.0,512.0,512.0,544.0,512.0
Not Provided,520.0,528.0,520.0,512.0,520.0,512.0
Other Ethnic Group,676.0,570.0,512.0,512.0,762.0,512.0
White,2884.0,6214.0,1768.0,700.0,1828.0,1124.0
