measure,E06000014,E07000163,E07000164,E07000165,E07000166,E07000167,E07000168,E07000169
percentage_of_pupils_achieving_the_english_baccalaureate_grades_5_or_above,23.7,24.4,24.6,30.9,21.7,22.0,15.8,17.0
percentage_of_pupils_achieving_the_english_baccalaureate_grades_4_or_above,30.6,29.5,31.5,38.3,30.4,31.9,20.6,21.5
percentage_of_pupils_achieving_grades_5_or_above_in_english_and_mathematics_gcse,55.1,54.6,54.3,59.6,48.2,53.5,40.1,49.3
percentage_of_pupils_achieving_grades_4_or_above_in_english_and_mathematics_gcse,75.3,72.7,72.1,77.1,71.2,71.7,60.9,70.5
