date,geography_code,geography_name,age_detailed,sex,ethnicity_group,personal_and_community_development_learning,neighbourhood_learning_in_deprived_communities,family_english_maths_and_language,wider_family_learning,total,ach_total,ach_personal_and_community_development_learning,ach_neighbourhood_learning_in_deprived_communities,ach_family_english_maths_and_language,ach_wider_family_learning
2021/22,E07000163,Craven,35-44,Male,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,35-44,Male,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,35-44,Male,Total,10,low,low,low,10,10,10,low,low,low
2021/22,E07000163,Craven,35-44,Male,White,10,low,low,low,10,10,10,low,low,low
2021/22,E07000163,Craven,35-44,Total,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,35-44,Total,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,35-44,Total,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,35-44,Total,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,35-44,Total,Other Ethnic Group,10,low,low,low,10,10,10,low,low,low
2021/22,E07000163,Craven,35-44,Total,Total,70,low,low,low,80,70,70,low,low,low
2021/22,E07000163,Craven,35-44,Total,White,60,low,low,low,60,60,60,low,low,low
2021/22,E07000163,Craven,45-59,Female,Asian/ Asian British,10,low,low,low,10,10,10,low,low,low
2021/22,E07000163,Craven,45-59,Female,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,45-59,Female,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,45-59,Female,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,45-59,Female,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,45-59,Female,Total,70,low,low,low,70,70,70,low,low,low
2021/22,E07000163,Craven,45-59,Female,White,70,low,low,low,70,60,60,low,low,low
2021/22,E07000163,Craven,45-59,Male,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,45-59,Male,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,45-59,Male,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,45-59,Male,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,45-59,Male,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,45-59,Male,Total,40,low,low,low,40,30,30,low,low,low
2021/22,E07000163,Craven,45-59,Male,White,40,low,low,low,40,30,30,low,low,low
2021/22,E07000163,Craven,45-59,Total,Asian/ Asian British,10,low,low,low,10,10,10,low,low,low
2021/22,E07000163,Craven,45-59,Total,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,45-59,Total,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,45-59,Total,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,45-59,Total,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,45-59,Total,Total,110,low,low,low,110,110,110,low,low,low
2021/22,E07000163,Craven,45-59,Total,White,100,low,low,low,100,100,100,low,low,low
2021/22,E07000163,Craven,60+,Female,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,60+,Female,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,60+,Female,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,60+,Female,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,60+,Female,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,60+,Female,Total,40,low,low,low,40,30,30,low,low,low
2021/22,E07000163,Craven,60+,Female,White,40,low,low,low,40,30,30,low,low,low
2021/22,E07000163,Craven,60+,Male,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,60+,Male,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,60+,Male,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,60+,Male,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,60+,Male,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,60+,Male,Total,10,low,low,low,10,10,10,low,low,low
2021/22,E07000163,Craven,60+,Male,White,10,low,low,low,10,10,10,low,low,low
2021/22,E07000163,Craven,60+,Total,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,60+,Total,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,60+,Total,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,60+,Total,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,60+,Total,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,60+,Total,Total,50,low,low,low,50,40,40,low,low,low
2021/22,E07000163,Craven,60+,Total,White,50,low,low,low,50,40,40,low,low,low
2021/22,E07000163,Craven,Total,Female,Asian/ Asian British,10,low,low,low,10,10,10,low,low,low
2021/22,E07000163,Craven,Total,Female,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Total,Female,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Total,Female,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Total,Female,Other Ethnic Group,10,low,low,low,10,10,10,low,low,low
2021/22,E07000163,Craven,Total,Female,Total,230,low,low,low,230,210,210,low,low,low
2021/22,E07000163,Craven,Total,Female,White,200,low,low,low,200,190,180,low,low,low
2021/22,E07000163,Craven,Total,Male,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Total,Male,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Total,Male,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Total,Male,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Total,Male,Other Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Total,Male,Total,80,low,low,low,80,70,70,low,low,low
2021/22,E07000163,Craven,Total,Male,White,70,low,low,low,70,70,70,low,low,low
2021/22,E07000163,Craven,Total,Total,Asian/ Asian British,10,low,low,low,10,10,10,low,low,low
2021/22,E07000163,Craven,Total,Total,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Total,Total,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Total,Total,Not Provided,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Total,Total,Other Ethnic Group,10,low,low,low,10,10,10,low,low,low
2021/22,E07000163,Craven,Total,Total,Total,310,low,low,low,310,290,280,low,low,low
2021/22,E07000163,Craven,Total,Total,White,270,low,low,low,280,250,250,low,low,low
2021/22,E07000163,Craven,Under 19,Female,Asian/ Asian British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Under 19,Female,Black/African/Caribbean/Black British,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Under 19,Female,Mixed/ Multiple Ethnic Group,low,low,low,low,low,low,low,low,low,low
2021/22,E07000163,Craven,Under 19,Female,Not Provided,low,low,low,low,low,low,low,low,low,low
