date,geography_name,geography_code,subject_level,age_youth_adult,achievements,participation
2021/22,Hambleton,E07000164,English Entry Level,Youth,0,0
2021/22,Harrogate,E07000165,English Entry Level,Youth,0,0
2021/22,Kirklees,E08000034,English Entry Level,Youth,0,0
2021/22,Leeds,E08000035,English Entry Level,Youth,0,0
2021/22,Richmondshire,E07000166,English Entry Level,Youth,0,0
2021/22,Ryedale,E07000167,English Entry Level,Youth,0,0
2021/22,Scarborough,E07000168,English Entry Level,Youth,0,0
2021/22,Selby,E07000169,English Entry Level,Youth,0,0
2021/22,Wakefield,E08000036,English Entry Level,Youth,0,0
2021/22,York,E06000014,English Entry Level,Youth,0,0
2021/22,Bradford,E08000032,English Level 1,Adult,370,520
2021/22,Calderdale,E08000033,English Level 1,Adult,60,100
2021/22,Craven,E07000163,English Level 1,Adult,10,10
2021/22,Hambleton,E07000164,English Level 1,Adult,20,20
2021/22,Harrogate,E07000165,English Level 1,Adult,30,50
2021/22,Kirklees,E08000034,English Level 1,Adult,190,180
2021/22,Leeds,E08000035,English Level 1,Adult,670,520
2021/22,Richmondshire,E07000166,English Level 1,Adult,600,1140
2021/22,Ryedale,E07000167,English Level 1,Adult,10,10
2021/22,Scarborough,E07000168,English Level 1,Adult,30,50
2021/22,Selby,E07000169,English Level 1,Adult,20,30
2021/22,Wakefield,E08000036,English Level 1,Adult,140,240
2021/22,York,E06000014,English Level 1,Adult,40,50
2021/22,Bradford,E08000032,English Level 1,Youth,low,30
2021/22,Calderdale,E08000033,English Level 1,Youth,low,20
2021/22,Craven,E07000163,English Level 1,Youth,0,low
2021/22,Hambleton,E07000164,English Level 1,Youth,low,low
2021/22,Harrogate,E07000165,English Level 1,Youth,low,10
2021/22,Kirklees,E08000034,English Level 1,Youth,10,10
2021/22,Leeds,E08000035,English Level 1,Youth,10,30
2021/22,Richmondshire,E07000166,English Level 1,Youth,10,60
2021/22,Ryedale,E07000167,English Level 1,Youth,low,low
2021/22,Scarborough,E07000168,English Level 1,Youth,low,10
2021/22,Selby,E07000169,English Level 1,Youth,0,10
2021/22,Wakefield,E08000036,English Level 1,Youth,low,20
2021/22,York,E06000014,English Level 1,Youth,0,low
2021/22,Bradford,E08000032,English Level 2,Adult,560,1810
2021/22,Calderdale,E08000033,English Level 2,Adult,160,540
2021/22,Craven,E07000163,English Level 2,Adult,40,100
2021/22,Hambleton,E07000164,English Level 2,Adult,70,230
2021/22,Harrogate,E07000165,English Level 2,Adult,80,350
2021/22,Kirklees,E08000034,English Level 2,Adult,330,1160
2021/22,Leeds,E08000035,English Level 2,Adult,710,2570
2021/22,Richmondshire,E07000166,English Level 2,Adult,320,660
2021/22,Ryedale,E07000167,English Level 2,Adult,30,90
2021/22,Scarborough,E07000168,English Level 2,Adult,90,330
2021/22,Selby,E07000169,English Level 2,Adult,60,220
2021/22,Wakefield,E08000036,English Level 2,Adult,310,1020
2021/22,York,E06000014,English Level 2,Adult,120,430
2021/22,Bradford,E08000032,English Level 2,Youth,40,170
2021/22,Calderdale,E08000033,English Level 2,Youth,10,80
2021/22,Craven,E07000163,English Level 2,Youth,10,40
2021/22,Hambleton,E07000164,English Level 2,Youth,10,50
2021/22,Harrogate,E07000165,English Level 2,Youth,10,50
2021/22,Kirklees,E08000034,English Level 2,Youth,50,190
2021/22,Leeds,E08000035,English Level 2,Youth,50,200
2021/22,Richmondshire,E07000166,English Level 2,Youth,40,130
2021/22,Ryedale,E07000167,English Level 2,Youth,10,30
2021/22,Scarborough,E07000168,English Level 2,Youth,10,60
2021/22,Selby,E07000169,English Level 2,Youth,10,40
2021/22,Wakefield,E08000036,English Level 2,Youth,20,100
2021/22,York,E06000014,English Level 2,Youth,10,40
2021/22,Bradford,E08000032,ESOL,Adult,1710,1880
2021/22,Calderdale,E08000033,ESOL,Adult,350,370
2021/22,Craven,E07000163,ESOL,Adult,20,20
2021/22,Hambleton,E07000164,ESOL,Adult,20,20
2021/22,Harrogate,E07000165,ESOL,Adult,70,90
2021/22,Kirklees,E08000034,ESOL,Adult,950,1200
2021/22,Leeds,E08000035,ESOL,Adult,3110,3360
2021/22,Richmondshire,E07000166,ESOL,Adult,10,10
2021/22,Ryedale,E07000167,ESOL,Adult,10,10
2021/22,Scarborough,E07000168,ESOL,Adult,30,30
2021/22,Selby,E07000169,ESOL,Adult,30,40
2021/22,Wakefield,E08000036,ESOL,Adult,460,540
2021/22,York,E06000014,ESOL,Adult,60,80
2021/22,Bradford,E08000032,ESOL,Youth,0,0
2021/22,Calderdale,E08000033,ESOL,Youth,0,0
2021/22,Craven,E07000163,ESOL,Youth,0,0
2021/22,Hambleton,E07000164,ESOL,Youth,0,0
2021/22,Harrogate,E07000165,ESOL,Youth,0,0
2021/22,Kirklees,E08000034,ESOL,Youth,0,0
2021/22,Leeds,E08000035,ESOL,Youth,0,0
2021/22,Richmondshire,E07000166,ESOL,Youth,0,0
2021/22,Ryedale,E07000167,ESOL,Youth,0,0
2021/22,Scarborough,E07000168,ESOL,Youth,0,0
2021/22,Selby,E07000169,ESOL,Youth,0,0
2021/22,Wakefield,E08000036,ESOL,Youth,0,0
2021/22,York,E06000014,ESOL,Youth,0,0
2021/22,Bradford,E08000032,ESOL Entry Level,Adult,1610,1770
2021/22,Calderdale,E08000033,ESOL Entry Level,Adult,330,350
2021/22,Craven,E07000163,ESOL Entry Level,Adult,20,20
2021/22,Hambleton,E07000164,ESOL Entry Level,Adult,10,20
2021/22,Harrogate,E07000165,ESOL Entry Level,Adult,60,70
2021/22,Kirklees,E08000034,ESOL Entry Level,Adult,740,940
