date,new_la_code,la_name,geography_code,geography_name,apprenticeships_or_further_education,level_or_type,age_group,starts,participation,achievements,starts_rate_per_100000_population,participation_rate_per_100000_population,achievements_rate_per_100000_population
2021/22,,,E08000032,Bradford,Apprenticeships,Apprenticeships: Intermediate,19-24,260,620,140,667,1579,355
2021/22,,,E08000032,Bradford,Apprenticeships,Apprenticeships: Intermediate,25+,310,600,120,115,223,42
2021/22,,,E08000032,Bradford,Apprenticeships,Apprenticeships: Higher,Total,840,1910,230,251,574,70
2021/22,,,E08000032,Bradford,Apprenticeships,Apprenticeships: Higher,Under 19,50,60,10,227,268,59
2021/22,,,E08000032,Bradford,Apprenticeships,Apprenticeships: Higher,19-24,200,550,80,516,1393,192
2021/22,,,E08000032,Bradford,Apprenticeships,Apprenticeships: Higher,25+,580,1300,150,215,480,54
2021/22,,,E08000032,Bradford,Apprenticeships,Apprenticeships: Advanced,Total,1470,3310,630,441,996,190
2021/22,,,E08000032,Bradford,Apprenticeships,Apprenticeships: Advanced,Under 19,370,640,140,1685,2916,627
2021/22,,,E08000032,Bradford,Apprenticeships,Apprenticeships: Advanced,19-24,540,1390,230,1383,3540,598
2021/22,,,E08000032,Bradford,Apprenticeships,Apprenticeships: Advanced,25+,560,1280,260,205,473,96
2021/22,,,E08000032,Bradford,Education and training,Education and training: Total,Total,NA,12470,9710,NA,4016,3126
2021/22,,,E08000032,Bradford,Education and training,Education and training: Total,19-24,NA,3240,2480,NA,8283,6328
2021/22,,,E08000032,Bradford,Education and training,Education and training: Total,25+,NA,9230,7230,NA,3401,2665
2021/22,,,E08000032,Bradford,Education and training,Education and training: Level 2,Total,NA,5720,4090,NA,1840,1318
2021/22,,,E08000032,Bradford,Education and training,Education and training: Level 2,19-24,NA,1350,960,NA,3450,2461
2021/22,,,E08000032,Bradford,Education and training,Education and training: Level 2,25+,NA,4370,3130,NA,1608,1153
2021/22,,,E08000032,Bradford,Education and training,Education and training: Level 3,Total,NA,1490,940,NA,479,301
2021/22,,,E08000032,Bradford,Education and training,Education and training: Level 3,19-24,NA,800,540,NA,2052,1372
2021/22,,,E08000032,Bradford,Education and training,Education and training: Level 3,25+,NA,680,400,NA,252,147
2021/22,,,E08000032,Bradford,Education and training,Education and training: Below Level 2 (excluding Basic Skills),Total,NA,3660,3210,NA,1179,1034
2021/22,,,E08000032,Bradford,Education and training,Education and training: Below Level 2 (excluding Basic Skills),19-24,NA,950,830,NA,2420,2116
2021/22,,,E08000032,Bradford,Education and training,Education and training: Below Level 2 (excluding Basic Skills),25+,NA,2710,2380,NA,1000,878
2021/22,,,E08000032,Bradford,Education and training,Education and training: Basic Skills,Total,NA,4350,3470,NA,1400,1118
2021/22,,,E08000032,Bradford,Education and training,Education and training: Basic Skills,19-24,NA,1090,820,NA,2775,2103
2021/22,,,E08000032,Bradford,Education and training,Education and training: Basic Skills,25+,NA,3260,2650,NA,1201,976
2021/22,,,E08000032,Bradford,Education and training,Education and training: Level 4+,Total,NA,130,60,NA,42,18
2021/22,,,E08000032,Bradford,Education and training,Education and training: Level 4+,19-24,NA,30,20,NA,82,49
2021/22,,,E08000032,Bradford,Education and training,Education and training: Level 4+,25+,NA,100,40,NA,36,14
2021/22,,,E08000032,Bradford,Education and training,Education and training: Full Level 2,Total,NA,290,130,NA,94,40
2021/22,,,E08000032,Bradford,Education and training,Education and training: Full Level 2,19-24,NA,70,40,NA,179,89
2021/22,,,E08000032,Bradford,Education and training,Education and training: Full Level 2,25+,NA,220,90,NA,81,33
2021/22,,,E08000032,Bradford,Education and training,Education and training: Full Level 3,Total,NA,820,560,NA,265,180
2021/22,,,E08000032,Bradford,Education and training,Education and training: Full Level 3,19-24,NA,540,380,NA,1367,969
2021/22,,,E08000032,Bradford,Education and training,Education and training: Full Level 3,25+,NA,290,180,NA,106,66
2021/22,,,E08000032,Bradford,Education and training,Education and training: No Level Assigned,Total,NA,390,290,NA,125,94
2021/22,,,E08000032,Bradford,Education and training,Education and training: No Level Assigned,19-24,NA,270,170,NA,682,434
2021/22,,,E08000032,Bradford,Education and training,Education and training: No Level Assigned,25+,NA,120,120,NA,45,45
2021/22,,,E08000032,Bradford,Community Learning,Community learning: Total,Total,NA,2930,2720,NA,882,818
2021/22,,,E08000032,Bradford,Community Learning,Community learning: Total,Under 19,NA,20,20,NA,100,95
2021/22,,,E08000032,Bradford,Community Learning,Community learning: Total,19-24,NA,770,760,NA,1973,1942
2021/22,,,E08000032,Bradford,Community Learning,Community learning: Total,25+,NA,2140,1940,NA,788,714
2021/22,,,E08000032,Bradford,Community Learning,Community learning: Personal and community development learning,Total,NA,2310,2130,NA,695,640
2021/22,,,E08000032,Bradford,Community Learning,Community learning: Personal and community development learning,Under 19,NA,10,10,NA,36,36
2021/22,,,E08000032,Bradford,Community Learning,Community learning: Personal and community development learning,19-24,NA,490,470,NA,1239,1209
2021/22,,,E08000032,Bradford,Community Learning,Community learning: Personal and community development learning,25+,NA,1820,1650,NA,670,606
2021/22,,,E08000032,Bradford,Community Learning,Community learning: Family english maths and language,Total,NA,70,60,NA,22,17
2021/22,,,E08000032,Bradford,Community Learning,Community learning: Family english maths and language,Under 19,NA,low,low,NA,low,low
2021/22,,,E08000032,Bradford,Community Learning,Community learning: Family english maths and language,19-24,NA,20,10,NA,51,26
2021/22,,,E08000032,Bradford,Community Learning,Community learning: Family english maths and language,25+,NA,50,40,NA,19,16
2021/22,,,E08000032,Bradford,Community Learning,Community learning: Wider family learning,Total,NA,560,540,NA,167,162
2021/22,,,E08000032,Bradford,Community Learning,Community learning: Wider family learning,Under 19,NA,10,10,NA,55,55
2021/22,,,E08000032,Bradford,Community Learning,Community learning: Wider family learning,19-24,NA,280,280,NA,721,721
2021/22,,,E08000032,Bradford,Community Learning,Community learning: Wider family learning,25+,NA,260,240,NA,97,90
2021/22,,,E08000032,Bradford,Community Learning,Community learning: Neighbourhood learning in deprived communities,Total,NA,20,20,NA,7,6
2021/22,,,E08000032,Bradford,Community Learning,Community learning: Neighbourhood learning in deprived communities,19-24,NA,low,low,NA,low,low
2021/22,,,E08000032,Bradford,Community Learning,Community learning: Neighbourhood learning in deprived communities,25+,NA,20,20,NA,8,6
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: Total,Total,NA,7580,5070,NA,6159,4125
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: Total,19-24,NA,1890,1000,NA,14941,7934
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: Total,25+,NA,5690,4070,NA,5155,3689
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: Level 2,Total,NA,1910,1240,NA,1555,1004
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: Level 2,19-24,NA,510,270,NA,4003,2156
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: Level 2,25+,NA,1410,960,NA,1275,872
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: Level 3,Total,NA,1600,550,NA,1301,450
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: Level 3,19-24,NA,810,270,NA,6381,2172
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: Level 3,25+,NA,800,280,NA,720,254
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),Total,NA,1120,950,NA,907,770
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),19-24,NA,260,220,NA,2069,1720
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),25+,NA,860,730,NA,775,661
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: Basic Skills,Total,NA,1370,790,NA,1117,640
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: Basic Skills,19-24,NA,360,180,NA,2838,1419
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: Basic Skills,25+,NA,1020,610,NA,920,551
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: Level 4+,Total,NA,1040,160,NA,846,126
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: Level 4+,19-24,NA,270,40,NA,2116,285
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: Level 4+,25+,NA,770,120,NA,700,108
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: Full Level 2,Total,NA,550,190,NA,446,155
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: Full Level 2,19-24,NA,280,100,NA,2180,777
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: Full Level 2,25+,NA,270,90,NA,248,84
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: Full Level 3,Total,NA,1390,430,NA,1129,348
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: Full Level 3,19-24,NA,750,240,NA,5961,1871
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: Full Level 3,25+,NA,640,190,NA,577,174
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: No Level Assigned,Total,NA,2110,2020,NA,1711,1642
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: No Level Assigned,19-24,NA,180,170,NA,1395,1347
2021/22,,,E08000033,Calderdale,Further education and skills,Further education and skills: No Level Assigned,25+,NA,1930,1850,NA,1748,1675
2021/22,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Total,Total,1550,3320,600,1189,2553,459
2021/22,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Total,Under 19,420,680,150,5838,9489,2020
2021/22,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Total,19-24,450,1150,200,3567,9115,1601
2021/22,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Total,25+,680,1490,250,615,1352,227
2021/22,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Intermediate,Total,420,800,160,321,614,126
2021/22,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Intermediate,Under 19,200,330,70,2815,4640,975
2021/22,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Intermediate,19-24,110,260,50,888,2021,420
2021/22,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Intermediate,25+,100,210,40,94,191,37
2021/22,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Higher,Total,460,1020,130,350,783,103
2021/22,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Higher,Under 19,20,30,10,279,446,84
2021/22,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Higher,19-24,120,260,40,983,2045,301
2021/22,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Higher,25+,310,730,90,282,660,82
2021/22,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Advanced,Total,680,1520,300,519,1167,230
2021/22,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Advanced,Under 19,200,320,70,2745,4473,961
2021/22,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Advanced,19-24,210,640,110,1696,5089,880
2021/22,,,E08000033,Calderdale,Apprenticeships,Apprenticeships: Advanced,25+,260,560,120,239,504,109
2021/22,,,E08000033,Calderdale,Education and training,Education and training: Total,Total,NA,2960,2380,NA,2410,1931
2021/22,,,E08000033,Calderdale,Education and training,Education and training: Total,19-24,NA,640,520,NA,5105,4106
2021/22,,,E08000033,Calderdale,Education and training,Education and training: Total,25+,NA,2320,1860,NA,2102,1682
2021/22,,,E08000033,Calderdale,Education and training,Education and training: Level 2,Total,NA,1440,1100,NA,1172,898
2021/22,,,E08000033,Calderdale,Education and training,Education and training: Level 2,19-24,NA,240,190,NA,1926,1466
2021/22,,,E08000033,Calderdale,Education and training,Education and training: Level 2,25+,NA,1200,920,NA,1086,833
2021/22,,,E08000033,Calderdale,Education and training,Education and training: Level 3,Total,NA,420,270,NA,341,217
2021/22,,,E08000033,Calderdale,Education and training,Education and training: Level 3,19-24,NA,170,120,NA,1363,951
2021/22,,,E08000033,Calderdale,Education and training,Education and training: Level 3,25+,NA,250,150,NA,224,133
2021/22,,,E08000033,Calderdale,Education and training,Education and training: Below Level 2 (excluding Basic Skills),Total,NA,950,810,NA,775,659
2021/22,,,E08000033,Calderdale,Education and training,Education and training: Below Level 2 (excluding Basic Skills),19-24,NA,240,210,NA,1934,1625
2021/22,,,E08000033,Calderdale,Education and training,Education and training: Below Level 2 (excluding Basic Skills),25+,NA,710,610,NA,642,548
2021/22,,,E08000033,Calderdale,Education and training,Education and training: Basic Skills,Total,NA,770,650,NA,625,526
2021/22,,,E08000033,Calderdale,Education and training,Education and training: Basic Skills,19-24,NA,170,130,NA,1379,1062
2021/22,,,E08000033,Calderdale,Education and training,Education and training: Basic Skills,25+,NA,600,510,NA,539,465
2021/22,,,E08000033,Calderdale,Education and training,Education and training: Level 4+,Total,NA,60,20,NA,48,20
2021/22,,,E08000033,Calderdale,Education and training,Education and training: Level 4+,19-24,NA,10,10,NA,71,40
2021/22,,,E08000033,Calderdale,Education and training,Education and training: Level 4+,25+,NA,50,20,NA,45,17
2021/22,,,E08000033,Calderdale,Education and training,Education and training: Full Level 2,Total,NA,80,60,NA,67,52
2021/22,,,E08000033,Calderdale,Education and training,Education and training: Full Level 2,19-24,NA,20,10,NA,159,111
2021/22,,,E08000033,Calderdale,Education and training,Education and training: Full Level 2,25+,NA,60,50,NA,57,45
2021/22,,,E08000033,Calderdale,Education and training,Education and training: Full Level 3,Total,NA,190,140,NA,158,111
2021/22,,,E08000033,Calderdale,Education and training,Education and training: Full Level 3,19-24,NA,110,80,NA,888,634
2021/22,,,E08000033,Calderdale,Education and training,Education and training: Full Level 3,25+,NA,80,60,NA,74,51
2021/22,,,E08000033,Calderdale,Education and training,Education and training: No Level Assigned,Total,NA,60,50,NA,50,43
2021/22,,,E08000033,Calderdale,Education and training,Education and training: No Level Assigned,19-24,NA,50,40,NA,420,349
2021/22,,,E08000033,Calderdale,Education and training,Education and training: No Level Assigned,25+,NA,10,10,NA,8,8
2021/22,,,E08000033,Calderdale,Community Learning,Community learning: Total,Total,NA,2160,2060,NA,1659,1584
2021/22,,,E08000033,Calderdale,Community Learning,Community learning: Total,Under 19,NA,low,low,NA,low,low
2021/22,,,E08000033,Calderdale,Community Learning,Community learning: Total,19-24,NA,130,130,NA,1046,1023
2021/22,,,E08000033,Calderdale,Community Learning,Community learning: Total,25+,NA,2030,1930,NA,1836,1750
2021/22,,,E08000033,Calderdale,Community Learning,Community learning: Personal and community development learning,Total,NA,640,560,NA,492,429
2021/22,,,E08000033,Calderdale,Community Learning,Community learning: Personal and community development learning,Under 19,NA,low,low,NA,low,low
2021/22,,,E08000033,Calderdale,Community Learning,Community learning: Personal and community development learning,19-24,NA,40,40,NA,349,341
2021/22,,,E08000033,Calderdale,Community Learning,Community learning: Personal and community development learning,25+,NA,600,510,NA,540,466
2021/22,,,E08000033,Calderdale,Community Learning,Community learning: Family english maths and language,Total,NA,60,60,NA,45,45
2021/22,,,E08000033,Calderdale,Community Learning,Community learning: Family english maths and language,25+,NA,60,60,NA,53,53
2021/22,,,E08000033,Calderdale,Community Learning,Community learning: Wider family learning,Total,NA,1100,1100,NA,842,841
2021/22,,,E08000033,Calderdale,Community Learning,Community learning: Wider family learning,19-24,NA,40,40,NA,317,317
2021/22,,,E08000033,Calderdale,Community Learning,Community learning: Wider family learning,25+,NA,1060,1060,NA,957,956
2021/22,,,E08000033,Calderdale,Community Learning,Community learning: Neighbourhood learning in deprived communities,Total,NA,400,390,NA,307,296
2021/22,,,E08000033,Calderdale,Community Learning,Community learning: Neighbourhood learning in deprived communities,19-24,NA,50,50,NA,380,365
2021/22,,,E08000033,Calderdale,Community Learning,Community learning: Neighbourhood learning in deprived communities,25+,NA,350,340,NA,319,307
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: Total,Total,NA,13380,8620,NA,5203,3351
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: Total,19-24,NA,3770,2100,NA,12013,6672
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: Total,25+,NA,9600,6520,NA,4255,2888
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: Level 2,Total,NA,4580,3050,NA,1780,1188
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: Level 2,19-24,NA,1220,700,NA,3868,2238
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: Level 2,25+,NA,3360,2350,NA,1489,1042
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: Level 3,Total,NA,3030,1030,NA,1177,399
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: Level 3,19-24,NA,1590,580,NA,5049,1859
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: Level 3,25+,NA,1440,440,NA,638,195
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),Total,NA,3330,2960,NA,1294,1153
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),19-24,NA,630,540,NA,2009,1732
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),25+,NA,2700,2420,NA,1195,1072
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: Basic Skills,Total,NA,3250,1910,NA,1264,744
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: Basic Skills,19-24,NA,760,400,NA,2403,1257
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: Basic Skills,25+,NA,2500,1520,NA,1106,672
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: Level 4+,Total,NA,1870,310,NA,728,121
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: Level 4+,19-24,NA,550,90,NA,1763,277
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: Level 4+,25+,NA,1320,230,NA,584,100
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: Full Level 2,Total,NA,1060,400,NA,413,154
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: Full Level 2,19-24,NA,550,220,NA,1735,703
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: Full Level 2,25+,NA,520,180,NA,229,78
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: Full Level 3,Total,NA,2630,790,NA,1022,308
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: Full Level 3,19-24,NA,1450,500,NA,4600,1579
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: Full Level 3,25+,NA,1180,300,NA,524,131
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: No Level Assigned,Total,NA,2000,1820,NA,776,707
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: No Level Assigned,19-24,NA,250,230,NA,796,719
2021/22,,,E08000034,Kirklees,Further education and skills,Further education and skills: No Level Assigned,25+,NA,1750,1590,NA,773,706
2021/22,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Total,Total,2900,6260,1230,1064,2295,450
2021/22,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Total,Under 19,780,1390,360,4928,8768,2252
2021/22,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Total,19-24,890,2220,410,2839,7057,1305
2021/22,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Total,25+,1230,2660,460,546,1178,205
2021/22,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Intermediate,Total,770,1560,390,282,572,144
2021/22,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Intermediate,Under 19,350,640,180,2208,4030,1126
2021/22,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Intermediate,19-24,210,500,120,678,1604,382
2021/22,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Intermediate,25+,210,420,90,92,186,42
2021/22,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Higher,Total,780,1820,270,286,666,100
2021/22,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Higher,Under 19,40,50,10,228,323,70
2021/22,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Higher,19-24,220,530,80,697,1687,255
2021/22,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Higher,25+,530,1240,180,233,548,80
2021/22,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Advanced,Total,1360,2940,560,496,1075,207
2021/22,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Advanced,Under 19,390,710,170,2493,4479,1056
2021/22,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Advanced,19-24,460,1210,210,1464,3848,668
2021/22,,,E08000034,Kirklees,Apprenticeships,Apprenticeships: Advanced,25+,500,1020,190,222,451,83
2021/22,,,E08000034,Kirklees,Education and training,Education and training: Total,Total,NA,6950,5450,NA,2702,2121
2021/22,,,E08000034,Kirklees,Education and training,Education and training: Total,19-24,NA,1500,1130,NA,4765,3597
2021/22,,,E08000034,Kirklees,Education and training,Education and training: Total,25+,NA,5450,4320,NA,2414,1916
2021/22,,,E08000034,Kirklees,Education and training,Education and training: Level 2,Total,NA,3530,2650,NA,1374,1030
2021/22,,,E08000034,Kirklees,Education and training,Education and training: Level 2,19-24,NA,690,500,NA,2190,1585
2021/22,,,E08000034,Kirklees,Education and training,Education and training: Level 2,25+,NA,2840,2150,NA,1260,953
2021/22,,,E08000034,Kirklees,Education and training,Education and training: Level 3,Total,NA,820,490,NA,320,189
2021/22,,,E08000034,Kirklees,Education and training,Education and training: Level 3,19-24,NA,400,250,NA,1267,786
2021/22,,,E08000034,Kirklees,Education and training,Education and training: Level 3,25+,NA,430,240,NA,188,106
2021/22,,,E08000034,Kirklees,Education and training,Education and training: Below Level 2 (excluding Basic Skills),Total,NA,3170,2820,NA,1231,1098
2021/22,,,E08000034,Kirklees,Education and training,Education and training: Below Level 2 (excluding Basic Skills),19-24,NA,580,510,NA,1853,1611
2021/22,,,E08000034,Kirklees,Education and training,Education and training: Below Level 2 (excluding Basic Skills),25+,NA,2580,2320,NA,1145,1027
2021/22,,,E08000034,Kirklees,Education and training,Education and training: Basic Skills,Total,NA,2120,1640,NA,826,636
2021/22,,,E08000034,Kirklees,Education and training,Education and training: Basic Skills,19-24,NA,430,320,NA,1382,1012
2021/22,,,E08000034,Kirklees,Education and training,Education and training: Basic Skills,25+,NA,1690,1320,NA,749,584
2021/22,,,E08000034,Kirklees,Education and training,Education and training: Level 4+,Total,NA,110,40,NA,44,16
2021/22,,,E08000034,Kirklees,Education and training,Education and training: Level 4+,19-24,NA,30,10,NA,83,41
2021/22,,,E08000034,Kirklees,Education and training,Education and training: Level 4+,25+,NA,90,30,NA,39,13
2021/22,,,E08000034,Kirklees,Education and training,Education and training: Full Level 2,Total,NA,140,100,NA,54,37
2021/22,,,E08000034,Kirklees,Education and training,Education and training: Full Level 2,19-24,NA,40,30,NA,131,86
2021/22,,,E08000034,Kirklees,Education and training,Education and training: Full Level 2,25+,NA,100,70,NA,43,31
2021/22,,,E08000034,Kirklees,Education and training,Education and training: Full Level 3,Total,NA,400,240,NA,156,93
2021/22,,,E08000034,Kirklees,Education and training,Education and training: Full Level 3,19-24,NA,240,150,NA,764,481
2021/22,,,E08000034,Kirklees,Education and training,Education and training: Full Level 3,25+,NA,160,90,NA,72,39
2021/22,,,E08000034,Kirklees,Education and training,Education and training: No Level Assigned,Total,NA,140,110,NA,54,43
2021/22,,,E08000034,Kirklees,Education and training,Education and training: No Level Assigned,19-24,NA,120,90,NA,372,293
2021/22,,,E08000034,Kirklees,Education and training,Education and training: No Level Assigned,25+,NA,20,20,NA,9,8
2021/22,,,E08000034,Kirklees,Community Learning,Community learning: Total,Total,NA,2070,1900,NA,759,695
2021/22,,,E08000034,Kirklees,Community Learning,Community learning: Total,Under 19,NA,low,low,NA,low,low
2021/22,,,E08000034,Kirklees,Community Learning,Community learning: Total,19-24,NA,150,140,NA,487,452
2021/22,,,E08000034,Kirklees,Community Learning,Community learning: Total,25+,NA,1920,1750,NA,849,776
2021/22,,,E08000034,Kirklees,Community Learning,Community learning: Personal and community development learning,Total,NA,1640,1490,NA,601,546
2021/22,,,E08000034,Kirklees,Community Learning,Community learning: Personal and community development learning,Under 19,NA,low,low,NA,low,low
2021/22,,,E08000034,Kirklees,Community Learning,Community learning: Personal and community development learning,19-24,NA,100,90,NA,328,293
2021/22,,,E08000034,Kirklees,Community Learning,Community learning: Personal and community development learning,25+,NA,1540,1400,NA,681,619
2021/22,,,E08000034,Kirklees,Community Learning,Community learning: Family english maths and language,Total,NA,20,20,NA,7,6
2021/22,,,E08000034,Kirklees,Community Learning,Community learning: Family english maths and language,19-24,NA,low,low,NA,low,low
2021/22,,,E08000034,Kirklees,Community Learning,Community learning: Family english maths and language,25+,NA,20,20,NA,8,7
2021/22,,,E08000034,Kirklees,Community Learning,Community learning: Wider family learning,Total,NA,300,290,NA,111,106
2021/22,,,E08000034,Kirklees,Community Learning,Community learning: Wider family learning,19-24,NA,20,20,NA,70,70
2021/22,,,E08000034,Kirklees,Community Learning,Community learning: Wider family learning,25+,NA,280,270,NA,125,118
2021/22,,,E08000034,Kirklees,Community Learning,Community learning: Neighbourhood learning in deprived communities,Total,NA,210,190,NA,75,70
2021/22,,,E08000034,Kirklees,Community Learning,Community learning: Neighbourhood learning in deprived communities,19-24,NA,30,30,NA,102,102
2021/22,,,E08000034,Kirklees,Community Learning,Community learning: Neighbourhood learning in deprived communities,25+,NA,170,160,NA,77,70
2021/22,,,E08000035,Leeds,Further education and skills,Further education and skills: Total,Total,NA,26010,16820,NA,5251,3396
2021/22,,,E08000035,Leeds,Further education and skills,Further education and skills: Total,19-24,NA,7200,3990,NA,7611,4218
2021/22,,,E08000035,Leeds,Further education and skills,Further education and skills: Total,25+,NA,18810,12840,NA,4694,3202
2021/22,,,E08000035,Leeds,Further education and skills,Further education and skills: Level 2,Total,NA,7620,5060,NA,1539,1022
2021/22,,,E08000035,Leeds,Further education and skills,Further education and skills: Level 2,19-24,NA,2120,1240,NA,2243,1309
2021/22,,,E08000035,Leeds,Further education and skills,Further education and skills: Level 2,25+,NA,5500,3820,NA,1373,954
2021/22,,,E08000035,Leeds,Further education and skills,Further education and skills: Level 3,Total,NA,5270,1840,NA,1065,372
2021/22,,,E08000035,Leeds,Further education and skills,Further education and skills: Level 3,19-24,NA,2490,920,NA,2634,976
2021/22,,,E08000035,Leeds,Further education and skills,Further education and skills: Level 3,25+,NA,2780,920,NA,694,229
2021/22,,,E08000035,Leeds,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),Total,NA,5040,4280,NA,1017,864
2021/22,,,E08000035,Leeds,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),19-24,NA,1160,1000,NA,1230,1053
2021/22,,,E08000035,Leeds,Further education and skills,Further education and skills: Below Level 2 (excluding Basic Skills),25+,NA,3870,3280,NA,966,819
2021/22,,,E08000035,Leeds,Further education and skills,Further education and skills: Basic Skills,Total,NA,7640,5270,NA,1543,1063
2021/22,,,E08000035,Leeds,Further education and skills,Further education and skills: Basic Skills,19-24,NA,1710,1100,NA,1807,1162
2021/22,,,E08000035,Leeds,Further education and skills,Further education and skills: Basic Skills,25+,NA,5930,4170,NA,1480,1039
2021/22,,,E08000035,Leeds,Further education and skills,Further education and skills: Level 4+,Total,NA,4050,700,NA,817,142
2021/22,,,E08000035,Leeds,Further education and skills,Further education and skills: Level 4+,19-24,NA,1230,160,NA,1297,170
2021/22,,,E08000035,Leeds,Further education and skills,Further education and skills: Level 4+,25+,NA,2820,540,NA,703,135
2021/22,,,E08000035,Leeds,Further education and skills,Further education and skills: Full Level 2,Total,NA,2090,710,NA,421,142
2021/22,,,E08000035,Leeds,Further education and skills,Further education and skills: Full Level 2,19-24,NA,940,330,NA,995,346
