ethnicity_group,1,2,3,4+,E,Not Assigned
Asian/ Asian British,4150.0,4146.0,874.0,344.0,5702.0,708.0
Black/African/Caribbean/Black British,1576.0,1926.0,564.0,320.0,3128.0,420.0
Mixed/ Multiple Ethnic Group,802.0,910.0,402.0,320.0,818.0,346.0
Not Provided,494.0,418.0,336.0,320.0,974.0,336.0
Other Ethnic Group,1080.0,864.0,328.0,320.0,3770.0,384.0
White,6672.0,11490.0,2038.0,440.0,4680.0,910.0
