Thing,Count,Quotient
G,29788,1.11
M,27186,0.93
F,21480,1.01
L,18579,0.98
N,17179,0.89
J,12789,0.73
I,12511,1.2
C,11750,1.31
Q,10299,1.16
S,9670,0.88
U,8083,1.44
H,7844,1.12
K,7217,0.97
R,5318,0.91
P,4203,0.91
T,4170,0.87
A,1621,1.02
E,683,1
D,474,0.71
O,448,0.88
B,310,0.8
