Thing,ID,Count
Pharma: Automation,RTIC006203,19
Digital Creative Industries: Design,RTIC006404,18
Legal Services: Crime,RTIC007603,18
Food Tech: Agri Tech,RTIC005701,18
Advanced Manufacturing: Digital Design,RTIC006508,18
Software Development: Web Development,RTIC007910,18
FinTech: Lendingtech,RTIC005213,18
Media and Publishing: Publishing Services,RTIC006803,17
Data Infrastructure: Data Centre Cooling,RTIC000701,17
Advanced Materials: Technical Ceramics and Glass,RTIC003410,17
"CleanTech: Energy Production, Management and Storage",RTIC004703,16
Telecommunications: Wireless Connectivity,RTIC005607,16
Omics: Metabolomics,RTIC002604,16
Net Zero: Carbon Capture,RTIC005503,16
Energy Storage: Mechanical,RTIC001303,16
Rehabilitation: Cognitive Rehabilitation,RTIC007301,16
FinTech: Buy-Now-Pay-Later,RTIC005205,16
Advanced Manufacturing: Moulding,RTIC006513,15
Net Zero: Building Technologies,RTIC005502,15
Net Zero: Heating,RTIC005509,14
"CleanTech: Mining, Fuels and Biofuels",RTIC004705,14
Advanced Materials: Coatings,RTIC003403,14
Advanced Materials: Electrochemical,RTIC003405,14
Net Zero: Grid,RTIC005508,13
Design and Modelling Technologies: Computer Aided Design,RTIC005902,13
Agency Market: Customer Relationship Management,RTIC007204,13
Telecommunications: Broadcasting,RTIC005602,13
Legal Services: Intellectual Property,RTIC007610,13
Electronics Manufacturing: Electronic components and boards,RTIC006703,13
Data Intermediaries: Undefined Intermediaries,RTIC007703,12
Cyber: Identity Management,RTIC000603,12
Photonics: Industry 4.0,RTIC002701,12
Advanced Materials: Technical Textiles,RTIC003411,11
E-Commerce: Platform,RTIC007402,11
"Net Zero: Low Carbon Consultancy, Advisory & Offsetting Services",RTIC005510,11
Software Development: Desktop,RTIC007903,11
Net Zero: Low Emission Vehicles,RTIC005512,11
Electronics Manufacturing: Measuring and metrology devices,RTIC006705,11
Software as a Service (SaaS): Real Estate,RTIC002908,11
FinTech: Paytech,RTIC005217,10
Food Tech: Kitchen Tech,RTIC005706,10
Space Economy: Location and Connectivity,RTIC006614,10
Food Tech: Food Surplus,RTIC005705,10
Media and Publishing: Broadcasting Services,RTIC006801,9
Artificial Intelligence: Machine Learning,RTIC000409,9
Net Zero: Agritech,RTIC005501,9
AgriTech: Vertical Farming,RTIC000307,9
Energy Management: AI and IoT,RTIC001201,8
Software as a Service (SaaS): Marketing,RTIC002907,8
Artificial Intelligence: Signal Processing,RTIC000411,8
Telecommunications: Network Providers,RTIC005604,7
