Thing,Count,Quotient,Latitude,Longitude
South Staffordshire,0,NA,52.604326360719,-2.16066216302956
Torbay,0,NA,50.4518225856407,-3.54669738702628
Teignbridge,0,NA,50.5603304628095,-3.60122665013782
South Oxfordshire,0,NA,51.6264413476858,-1.05065209980431
Hyndburn,0,NA,53.7604072064232,-2.38241356935574
Broadland,0,NA,52.671038123052,1.3178368446818
Halton,0,NA,53.3491209074259,-2.70964887946839
East Hertfordshire,0,NA,51.833910581425,0.0223885858206972
Exeter,0,NA,50.7172852580968,-3.51341083684376
Harborough,0,NA,52.5065636380311,-1.04024277226893
East Lindsey,0,NA,53.252491479605,0.0764526235115258
East Hampshire,0,NA,51.0538125052826,-0.939001795521777
Rhondda Cynon Taf,0,NA,51.6093569736963,-3.38666659364832
Brighton and Hove,0,NA,50.8322558287112,-0.156523194326598
Stafford,0,NA,52.840900476694,-2.13541081278887
South Somerset,0,NA,50.9685895051186,-2.69849824032041
Hart,0,NA,51.2891047087123,-0.866586827737672
Guildford,0,NA,51.2466865033823,-0.567118824014508
Barnet,0,NA,51.6071355708995,-0.203494782223262
Preston,0,NA,53.7732541073143,-2.70472504302104
South Lakeland,0,NA,54.2921413513514,-2.85596150565114
Walsall,0,NA,52.5931881077638,-1.97729021713425
Chorley,0,NA,53.6555671181109,-2.65163360826768
North Tyneside,0,NA,55.0209462572691,-1.5036413578775
Caerphilly,0,NA,51.6309632572636,-3.19909085172715
Epsom and Ewell,0,NA,51.3434543341034,-0.26144917079072
Causeway Coast and Glens,0,NA,55.0826667070449,-6.68239860535544
Harrow,0,NA,51.5913153736563,-0.332804230312533
Wychavon,0,NA,52.1780897439728,-2.06880553988886
Richmond upon Thames,0,NA,51.4474689287312,-0.315815205688174
Bromley,0,NA,51.3942766875847,0.0275367530049971
Fareham,0,NA,50.8566862719024,-1.21448873553714
Central Bedfordshire,0,NA,51.9728324956867,-0.478444183489742
Newark and Sherwood,0,NA,53.10017750439,-0.884829187884109
Swindon,0,NA,51.5672871389582,-1.78176144304645
East Riding of Yorkshire,0,NA,53.8320289983434,-0.487227444448684
Lewisham,0,NA,51.4523381268385,-0.022799834096110302
Ards and North Down,0,NA,54.6131726639736,-5.6983004377105
County Durham,0,NA,54.7481343555237,-1.60749171764873
