LA,Thing,Count
Leeds,2421,31081.95
Leeds,9241,31047
Leeds,5319,30858.9
Leeds,4131,30757.0476190476
Leeds,4161,30721.8805970149
Leeds,8125,30610.0285714286
Leeds,5231,30457.6923076923
Leeds,3131,30402.8588235294
Leeds,2319,30230.0142857143
Leeds,5434,30136.7272727273
Leeds,2472,30101.6296296296
Leeds,5449,29982.724137931
Leeds,3119,29696.5443037975
Leeds,8211,29258.2857142857
Leeds,7129,28844.9111111111
Leeds,5323,28751
Leeds,5232,28687.0625
Leeds,3442,28672.7333333333
Leeds,3219,28224.4285714286
Wakefield,2424,44432.1666666667
Wakefield,1132,44173.5
Wakefield,1131,42597
Wakefield,2319,38228.8461538462
Wakefield,2136,37298.4210526316
Wakefield,3531,35055.5555555556
Wakefield,3539,34776.9090909091
Wakefield,2231,33797.9130434783
Wakefield,3131,30458.4615384615
Wakefield,4133,28879
Wakefield,7129,28661.78125
Wakefield,2317,28515.3181818182
Wakefield,1259,26764.1153846154
Wakefield,3119,25613
Wakefield,3543,25088.1379310345
Wakefield,4215,23693.4642857143
Wakefield,9120,22593
Wakefield,4122,22145.2727272727
Wakefield,3562,22065.6129032258
Wakefield,7219,21784.2222222222
Wakefield,6145,21203.03125
Wakefield,3132,21155.4782608696
Wakefield,4159,20737.3898305085
Wakefield,3239,20527.5384615385
Wakefield,9219,20152.5185185185
Wakefield,9260,20107.8
Wakefield,4216,18346.9090909091
York,1259,47884.1666666667
York,1132,45852.8333333333
York,2216,42378.7
York,2136,37097.4090909091
York,2135,36728.5
York,3562,29209.8695652174
York,3543,29203.3076923077
York,3131,27762.2727272727
York,7129,27472.96875
York,7219,26293.6111111111
York,4122,24508.6956521739
York,4159,22368.35
York,4216,18521.8846153846
York,1259,47884.1666666667
York,1132,45852.8333333333
York,2216,42378.7
York,2136,37097.4090909091
York,2135,36728.5
York,3562,29209.8695652174
York,3543,29203.3076923077
York,3131,27762.2727272727
York,7129,27472.96875
York,7219,26293.6111111111
York,4122,24508.6956521739
York,4159,22368.35
York,4216,18521.8846153846
