LA,Thing,Count
Craven,6121,23
Craven,8211,21
Craven,2429,20
Craven,2137,19
Craven,6240,19
Craven,3116,19
Craven,3312,19
Craven,2141,19
Craven,9236,18
Craven,5221,18
Craven,2436,17
Craven,7213,17
Craven,1242,17
Craven,4135,17
Craven,5222,17
Craven,9273,16
Craven,3567,16
Craven,4151,16
Craven,2431,16
Craven,8129,15
Craven,3218,15
Craven,4131,15
Craven,5319,14
Craven,3112,14
Craven,1135,12
Craven,9274,12
Craven,6231,12
Hambleton,3119,205
Hambleton,9120,160
Hambleton,5215,125
Hambleton,8125,119
Hambleton,9260,103
Hambleton,2113,96
Hambleton,3113,83
Hambleton,2129,82
Hambleton,3115,68
Hambleton,3132,66
Hambleton,2121,59
Hambleton,2122,59
Hambleton,9272,56
Hambleton,5223,54
Hambleton,4159,53
Hambleton,8222,48
Hambleton,9139,45
Hambleton,3442,43
Hambleton,2136,42
Hambleton,9241,39
Hambleton,8149,37
Hambleton,9134,35
Hambleton,7129,33
Hambleton,4133,32
Hambleton,1259,29
Hambleton,1121,28
Hambleton,3567,28
Hambleton,8116,28
Hambleton,4122,26
Hambleton,1131,25
Hambleton,2126,23
Hambleton,2217,22
Hambleton,5241,22
Hambleton,3543,20
Hambleton,1132,20
Hambleton,3542,20
Hambleton,2214,20
Hambleton,5221,19
Hambleton,7111,18
Hambleton,8212,18
Hambleton,3412,18
Hambleton,2421,17
Hambleton,8211,17
Hambleton,6121,16
Hambleton,3562,15
Hambleton,2135,15
Hambleton,1122,13
Hambleton,4216,13
Hambleton,6145,13
Hambleton,9233,12
Hambleton,7213,12
Hambleton,4134,12
Hambleton,7219,12
Hambleton,1162,12
Hambleton,2123,12
Hambleton,5249,10
Hambleton,5442,10
Hambleton,3131,10
Hambleton,5315,9
Hambleton,8129,9
Hambleton,4161,9
Hambleton,6221,9
Hambleton,5231,9
Hambleton,2314,9
Hambleton,3531,8
Hambleton,4214,8
Hambleton,6240,8
Hambleton,5311,7
Hambleton,9219,7
Hambleton,3218,7
Hambleton,2213,7
Hambleton,2139,7
Hambleton,2222,7
Hambleton,8132,6
Hambleton,2461,6
Hambleton,2231,6
Hambleton,4129,6
Hambleton,8141,6
Hambleton,2434,6
Hambleton,5449,5
Hambleton,2433,5
Hambleton,1161,5
Hambleton,5232,5
Hambleton,2436,5
Hambleton,3541,5
Hambleton,2319,5
Hambleton,5436,5
Hambleton,5314,5
Hambleton,5319,5
Hambleton,1115,5
Hambleton,2462,5
Hambleton,4121,5
Hambleton,8114,5
Hambleton,2127,4
Hambleton,9239,4
Hambleton,3122,4
Hambleton,2112,4
Hambleton,3413,4
Hambleton,3563,4
Hambleton,4215,4
Harrogate,8211,1819
Harrogate,2216,1318
Harrogate,2423,953
Harrogate,8215,723
Harrogate,7129,715
Harrogate,6131,589
Harrogate,9233,561
Harrogate,3113,477
Harrogate,2231,389
Harrogate,5434,367
Harrogate,6145,360
Harrogate,3543,360
Harrogate,3542,358
Harrogate,2421,347
Harrogate,7219,334
Harrogate,1132,319
Harrogate,4159,283
Harrogate,9273,278
Harrogate,3562,248
Harrogate,2136,241
Harrogate,9272,219
Harrogate,1259,217
Harrogate,3132,213
Harrogate,2135,211
Harrogate,2122,193
Harrogate,5241,181
Harrogate,2433,177
Harrogate,2129,161
Harrogate,4122,157
Harrogate,3119,155
Harrogate,7111,150
Harrogate,9260,147
Harrogate,2123,137
Harrogate,3541,126
Harrogate,2127,125
Harrogate,6143,115
Harrogate,5223,114
Harrogate,3131,111
Harrogate,3539,96
Harrogate,1135,90
Harrogate,4216,89
Harrogate,4161,87
Harrogate,4129,85
Harrogate,3535,85
Harrogate,6232,83
Harrogate,1251,81
Harrogate,4134,77
Harrogate,6231,74
Harrogate,5231,73
Harrogate,2462,73
Harrogate,8212,72
Harrogate,5436,70
Harrogate,2139,70
Harrogate,5249,68
Harrogate,1131,67
Harrogate,3520,67
Harrogate,2424,67
Harrogate,9279,67
Harrogate,9274,67
Harrogate,7113,66
Harrogate,2121,63
Harrogate,4215,62
Harrogate,3545,60
Harrogate,7220,59
Harrogate,5232,58
Harrogate,2134,57
Harrogate,8213,57
Harrogate,2436,57
Harrogate,3534,56
Harrogate,1133,53
Harrogate,3563,51
Harrogate,1121,48
Harrogate,7130,47
Harrogate,3531,47
Harrogate,2137,46
Harrogate,4212,46
Harrogate,6141,45
Harrogate,3567,45
Harrogate,3546,45
Harrogate,9234,44
Harrogate,9219,43
Harrogate,5314,43
Harrogate,6125,43
Harrogate,5113,42
Harrogate,1136,42
Harrogate,3116,42
Harrogate,6222,41
