Thing,Count
2022,2860639
2021,5642880
2020,14761185
2019,31170536
2018,6986817
2017,22262883
2016,57580213
2015,7207385
2014,6704529
2013,7014245
2012,5373998
2011,2256215
2010,2166718
2009,2448704
2008,2524154
2007,1337649
2006,1025154
2005,861895
2003,30035
1,0
