Thing,Count
2022,27
2021,43
2020,136
2019,70
2018,43
2017,63
2016,57
2015,107
2014,94
2013,75
2012,50
2011,28
2010,19
2009,24
2008,23
2007,23
2006,27
2005,11
2003,1
1,37
