Thing,Count,Quotient
Yorkshire and The Humber,201114,16.14
London,150,0
North West (England),28,0
South East (England),26,0
East,26,0
South West (England),16,0
East Midlands (England),15,0
Scotland,15,0
West Midlands (England),10,0
Wales,9,0
North East (England),6,0
Northern Ireland,6,0
