Thing,Count,Quotient
G,498927,2.51
M,398520,1.1
N,197884,1.01
C,187011,1.42
K,151002,0.85
F,127416,1.5
Q,102054,1.06
H,76164,1.22
P,66494,1.11
J,61885,0.14
I,59496,0.77
L,46956,0.88
S,31505,0.78
R,27937,0.87
E,9677,1.27
U,8830,1.7
A,8732,1.1
B,6662,0.65
D,3951,0.61
T,2406,1.07
O,948,0.18
