Thing,Count,Quotient
Yorkshire and The Humber,2098265,18.17
London,29586,0.03
South East (England),2127,0.01
East Midlands (England),1036,0.01
North West (England),746,0
Scotland,212,0
West Midlands (England),57,0
East,51,0
South West (England),31,0
Wales,17,0
Northern Ireland,1,0
North East (England),0,NA
