Thing,Count,Quotient,Latitude,Longitude
Leeds,174601163771,29.65,53.8088288159581,-1.54487381191795
Bradford,45232308177,27.91,53.8192604357264,-1.78970658453656
York,27091810963,29.69,53.9635187460615,-1.08242362996424
Wakefield,21349026668,30.62,53.6795875864757,-1.44814460106494
Selby,15823825263,30.38,53.7928201448175,-1.13754099830535
Kirklees,14842874585,26.91,53.6615946131198,-1.73219659263163
Harrogate,13072791455.5,32.43,54.0193666618308,-1.51688972329684
Calderdale,10533006639,31.53,53.7148427762754,-1.88304649945836
Hambleton,5802623891,31.67,54.296281700969,-1.34324297968395
Ryedale,5366653972,40.72,54.1715517475242,-0.841477252475244
Scarborough,3216504742,31.77,54.3143197857532,-0.467502009908956
Craven,3041734330,30.51,53.9875981349842,-2.09742669718182
City of London,1638600353,0.04,51.5145580291079,-0.0927815507833637
Richmondshire,1634734431,34.09,54.3882022846254,-1.76100253688719
Westminster,348981810.166667,0.01,51.513050010751,-0.144603932441032
Islington,274509166.666667,0.06,51.531776028099,-0.0970130484010299
Horsham,271666666.666667,0.65,51.019664786138,-0.343900783746386
Basingstoke and Deane,158728000,0.2,51.2762129173303,-1.12052664857967
Cheshire East,145387500,0.1,53.2266530310866,-2.28762499669259
North Northamptonshire,84087534.5,0.1,52.3876783281504,-0.673285839810879
Leicester,31493000,0.06,52.6373624866096,-1.12161161304569
Eastbourne,31493000,0.26,50.7763029369298,0.285342230343935
Glasgow City,12477500,0.01,55.8588957008953,-4.26337333109786
City of Edinburgh,9966285,0,55.9502118559609,-3.209964938508
Windsor and Maidenhead,8954946.5,0,51.4890212414484,-0.678074355309581
Manchester,8124022,0,53.4675404657594,-2.23401177736325
Hackney,5692500,0,51.5357829695029,-0.0829749362986843
Doncaster,5397892,0.01,53.5264742411146,-1.11742486663908
Wyre Forest,3787500,0.03,52.3716562692022,-2.26195991773227
Ealing,2192500,0,51.5190926147854,-0.317534824882395
Tower Hamlets,1965000,0,51.5117080522584,-0.0378453615633189
Newham,1962500,0,51.5309642455957,0.0316330274232363
North Hertfordshire,1722500,0,51.9739565785452,-0.199084179362427
Camden,1352491.5,0,51.5233827216008,-0.13083014240166
East Hampshire,1140000,0,51.0538125052826,-0.939001795521777
Tewkesbury,1090000,0,51.9283776227016,-2.13708570894774
Wandsworth,1075000,0,51.4541514802156,-0.179633146210229
Uttlesford,1057500,0.01,51.9378620651856,0.266269879182977
Sheffield,740000,0,53.381712811486,-1.46651994349187
West Suffolk,452500,0,52.2619017032795,0.582842766104841
Flintshire,427500,0,53.2026902550826,-3.07980005657841
Runnymede,413669.5,0,51.4012630699354,-0.526595236544382
North Kesteven,355000,0,53.1173033747798,-0.504497666415477
Colchester,342500,0,51.8872410781162,0.888554981692394
Swansea,277500,0,51.6359674853098,-3.96638141492085
Braintree,277500,0,51.8810803219398,0.601325419657439
Burnley,275000,0,53.7923906373827,-2.26323729381047
Bolsover,248048,0,53.2005881148649,-1.27491224549547
Reading,215000,0,51.4523921157519,-0.978190626945066
Birmingham,212500,0,52.4830876913543,-1.88705000108815
Wiltshire,205000,0,51.3104189738938,-1.98510500814376
Warrington,202500,0,53.3911071522074,-2.57806111578515
"Bournemouth, Christchurch and Poole",197500,0,50.7341371018625,-1.89069104803856
Bexley,175000,0,51.4576014470347,0.132613749490333
Brighton and Hove,172500,0,50.8322558287112,-0.156523194326598
Havering,150000,0,51.5690361101525,0.204156194185964
Croydon,137500,0,51.3687022964768,-0.0952326481745404
Three Rivers,132500,0,51.6504675503018,-0.445181071925057
Merton,125000,0,51.4111143895329,-0.193522386300182
Thurrock,112500,0,51.4919108413957,0.335991176273257
Chorley,100000,0,53.6555671181109,-2.65163360826768
Torfaen,95000,0,51.6741720258985,-3.02955344161546
St Albans,90000,0,51.7645290500307,-0.332512355519028
Cardiff,77500,0,51.5021903004641,-3.18176176761956
Barnsley,77500,0,53.5493188976257,-1.47216187706954
"Bristol, City of",75000,0,51.460883772587,-2.59684752683009
Fareham,72500,0,50.8566862719024,-1.21448873553714
South Staffordshire,67500,0,52.604326360719,-2.16066216302956
Liverpool,62500,0,53.40281385624,-2.95289379119425
Rushcliffe,62500,0,52.9131503391496,-1.0910679873598
