Thing,Count,Quotient
Yorkshire and The Humber,341615277777.5,22.04
London,2277041258.33333,0.01
South East (England),473025782.666667,0.01
North West (England),154269022,0.01
East Midlands (England),116386082.5,0.01
Scotland,22478785,0
East,4404316,0
West Midlands (England),4160763,0
South West (England),1647500,0
Wales,907500,0
North East (England),42500,0
Northern Ireland,25000,0
