Thing,Count,Quotient
G,89391777334,1.95
M,68494096285.25,0.89
K,39851950928.6667,0.74
C,32125555533.5,1.21
F,27502438250.6667,1.68
N,20353728417.6667,0.46
H,10262961196.4167,0.66
D,8683568067,1.75
J,7679015796.25,0.47
L,6893912099.75,0.95
Q,4740891996.41667,1.16
I,3630142573.5,0.93
P,3461966120.08333,0.92
S,3327555484.08333,0.76
B,2733370511.33333,0.43
E,2119487060.91667,1.42
R,2041430897,0.85
A,2014823293.16667,1.48
U,1352323446.83333,2.37
T,151763370.666667,1.15
O,85301711.8333333,0.13
