date,large_250_,medium_sized_50_to_249_,micro_0_to_9_,small_10_to_49_
2010,100.0,100.0,100.0,100.0
2011,94.6236559139785,103.29067641681901,99.49022939677145,96.78111587982833
2012,97.84946236559139,102.37659963436928,102.01359388275276,99.01287553648068
2013,95.6989247311828,105.11882998171846,101.84367034834325,100.47210300429184
2014,91.39784946236558,104.0219378427788,105.77740016992354,103.26180257510728
2015,93.54838709677419,106.39853747714807,118.30926083262531,106.39484978540771
2016,95.6989247311828,105.66727605118831,121.29141886151231,107.3390557939914
2017,93.54838709677419,106.76416819012798,127.34919286321156,108.62660944206009
2018,93.54838709677419,109.68921389396709,126.04078164825829,109.57081545064378
2019,94.6236559139785,109.14076782449726,128.44519966015292,111.07296137339056
2020,91.39784946236558,111.15173674588665,132.79524214103654,111.20171673819743
2021,88.17204301075269,108.59232175502743,134.5624468988955,110.30042918454936
2022,90.32258064516128,111.51736745886653,133.66185216652505,110.42918454935622
