date,large_250_,medium_sized_50_to_249_,micro_0_to_9_,small_10_to_49_
2011,-5.38,3.29,-0.51,-3.22
2012,3.41,-0.88,2.54,2.31
2013,-2.2,2.68,-0.17,1.47
2014,-4.49,-1.04,3.86,2.78
2015,2.35,2.28,11.85,3.03
2016,2.3,-0.69,2.52,0.89
2017,-2.25,1.04,4.99,1.2
2018,0.0,2.74,-1.03,0.87
2019,1.15,-0.5,1.91,1.37
2020,-3.41,1.84,3.39,0.12
2021,-3.53,-2.3,1.33,-0.81
2022,2.44,2.69,-0.67,0.12
