geography_code,"Agriculture, Horticulture and Animal Care","Arts, Media and Publishing","Business, Administration and Law","Construction, Planning and the Built Environment",Education and Training,Engineering and Manufacturing Technologies,"Health, Public Services and Care","History, Philosophy and Theology",Information and Communication Technology,"Leisure, Travel and Tourism",Retail and Commercial Enterprise,Science and Mathematics,Social Sciences
E08000032,10,0,80,10,10,20,100,0,20,0,40,0,0
E08000033,0,0,30,0,0,20,40,0,10,0,20,0,0
E08000034,0,0,100,20,10,40,70,0,20,0,20,0,0
E08000035,10,0,150,10,20,50,120,0,40,0,30,0,0
E08000036,0,0,80,10,10,40,70,0,10,0,20,0,0
