measure,E08000032,E08000033,E08000034,E08000035,E08000036
percentage_of_pupils_achieving_the_english_baccalaureate_grades_5_or_above,14.8,13.9,18.0,22.6,16.4
percentage_of_pupils_achieving_the_english_baccalaureate_grades_4_or_above,20.6,17.9,24.0,28.8,21.9
percentage_of_pupils_achieving_grades_5_or_above_in_english_and_mathematics_gcse,42.9,47.9,50.2,52.1,50.1
percentage_of_pupils_achieving_grades_4_or_above_in_english_and_mathematics_gcse,61.1,67.7,68.1,68.9,68.1
