geography_code,Advanced Apprenticeship,Higher Apprenticeship,Intermediate Apprenticeship
E06000014,50,30,40
E07000163,10,10,10
E07000164,30,10,10
E07000165,30,30,30
E07000166,10,0,300
E07000167,20,0,10
E07000168,30,10,20
E07000169,30,10,10
