geography_code,"Agriculture, Horticulture and Animal Care","Arts, Media and Publishing","Business, Administration and Law","Construction, Planning and the Built Environment",Education and Training,Engineering and Manufacturing Technologies,"Health, Public Services and Care","History, Philosophy and Theology",Information and Communication Technology,"Leisure, Travel and Tourism",Retail and Commercial Enterprise,Science and Mathematics,Social Sciences
E06000014,10,0,100,90,0,80,110,0,10,0,40,0,0
E07000163,10,0,20,10,0,20,30,0,0,0,10,0,0
E07000164,10,0,50,30,0,30,110,0,10,0,20,0,0
E07000165,10,0,70,20,10,60,90,0,20,0,40,0,0
E07000166,10,0,30,20,0,10,1000,0,0,0,10,0,0
E07000167,20,0,30,20,0,20,30,0,0,0,10,0,0
E07000168,10,0,30,30,0,70,70,0,10,0,20,0,0
E07000169,10,0,70,90,0,90,60,0,10,10,20,0,0
