geography_code,"Agriculture, Horticulture and Animal Care","Arts, Media and Publishing","Business, Administration and Law","Construction, Planning and the Built Environment",Education and Training,Engineering and Manufacturing Technologies,"Health, Public Services and Care","History, Philosophy and Theology",Information and Communication Technology,"Leisure, Travel and Tourism",Retail and Commercial Enterprise,Science and Mathematics,Social Sciences
E06000014,0,0,30,10,10,20,30,0,0,0,20,0,0
E07000163,0,0,10,10,0,0,10,0,0,0,0,0,0
E07000164,0,0,20,0,0,10,10,0,0,0,10,0,0
E07000165,0,0,20,0,0,10,30,0,10,0,10,0,0
E07000166,0,0,0,0,0,0,300,0,0,0,0,0,0
E07000167,0,0,10,10,0,10,10,0,0,0,0,0,0
E07000168,0,0,10,0,0,20,20,0,0,0,10,0,0
E07000169,0,0,20,0,0,10,10,0,0,0,10,0,0
